goos: darwin
goarch: amd64
pkg: github.com/ef-ds/deque
BenchmarkFillGammazeroQueue/100000-4    	     200	   6893037 ns/op	 7890992 B/op	  100028 allocs/op
BenchmarkFillGammazeroQueue/100000-4    	     200	   6861308 ns/op	 7890992 B/op	  100028 allocs/op
BenchmarkFillGammazeroQueue/100000-4    	     200	   7664841 ns/op	 7890992 B/op	  100028 allocs/op
BenchmarkFillGammazeroQueue/100000-4    	     200	   9361532 ns/op	 7890992 B/op	  100028 allocs/op
BenchmarkFillGammazeroQueue/100000-4    	     200	   8653897 ns/op	 7890992 B/op	  100028 allocs/op
BenchmarkFillGammazeroQueue/1000000-4   	      20	  74259517 ns/op	66331184 B/op	 1000034 allocs/op
BenchmarkFillGammazeroQueue/1000000-4   	      20	  94406504 ns/op	66331184 B/op	 1000034 allocs/op
BenchmarkFillGammazeroQueue/1000000-4   	      20	 111831166 ns/op	66331184 B/op	 1000034 allocs/op
BenchmarkFillGammazeroQueue/1000000-4   	      20	  89682027 ns/op	66331184 B/op	 1000034 allocs/op
BenchmarkFillGammazeroQueue/1000000-4   	      20	  75078880 ns/op	66331184 B/op	 1000034 allocs/op
BenchmarkFillGammazeroQueue/1000000-4   	      20	  76195438 ns/op	66331184 B/op	 1000034 allocs/op
BenchmarkFillGammazeroQueue/1000000-4   	      20	  83042760 ns/op	66331184 B/op	 1000034 allocs/op
BenchmarkFillGammazeroQueue/1000000-4   	      20	  81825139 ns/op	66331184 B/op	 1000034 allocs/op
BenchmarkFillGammazeroQueue/1000000-4   	      20	  81202156 ns/op	66331184 B/op	 1000034 allocs/op
BenchmarkFillGammazeroQueue/1000000-4   	      20	  80073464 ns/op	66331184 B/op	 1000034 allocs/op
BenchmarkFillGammazeroStack/0-4         	50000000	        38.6 ns/op	      48 B/op	       1 allocs/op
BenchmarkFillGammazeroStack/0-4         	50000000	        38.4 ns/op	      48 B/op	       1 allocs/op
BenchmarkFillGammazeroStack/0-4         	50000000	        38.8 ns/op	      48 B/op	       1 allocs/op
BenchmarkFillGammazeroStack/0-4         	50000000	        39.8 ns/op	      48 B/op	       1 allocs/op
BenchmarkFillGammazeroStack/0-4         	30000000	        40.2 ns/op	      48 B/op	       1 allocs/op
BenchmarkFillGammazeroStack/0-4         	30000000	        51.0 ns/op	      48 B/op	       1 allocs/op
BenchmarkFillGammazeroStack/0-4         	30000000	        43.2 ns/op	      48 B/op	       1 allocs/op
BenchmarkFillGammazeroStack/0-4         	30000000	        43.0 ns/op	      48 B/op	       1 allocs/op
BenchmarkFillGammazeroStack/0-4         	50000000	        40.7 ns/op	      48 B/op	       1 allocs/op
BenchmarkFillGammazeroStack/0-4         	50000000	        40.4 ns/op	      48 B/op	       1 allocs/op
BenchmarkFillGammazeroStack/1-4         	10000000	       191 ns/op	     320 B/op	       3 allocs/op
BenchmarkFillGammazeroStack/1-4         	10000000	       189 ns/op	     320 B/op	       3 allocs/op
BenchmarkFillGammazeroStack/1-4         	10000000	       178 ns/op	     320 B/op	       3 allocs/op
BenchmarkFillGammazeroStack/1-4         	10000000	       185 ns/op	     320 B/op	       3 allocs/op
BenchmarkFillGammazeroStack/1-4         	10000000	       179 ns/op	     320 B/op	       3 allocs/op
BenchmarkFillGammazeroStack/1-4         	10000000	       174 ns/op	     320 B/op	       3 allocs/op
BenchmarkFillGammazeroStack/1-4         	10000000	       198 ns/op	     320 B/op	       3 allocs/op
BenchmarkFillGammazeroStack/1-4         	10000000	       204 ns/op	     320 B/op	       3 allocs/op
BenchmarkFillGammazeroStack/1-4         	10000000	       181 ns/op	     320 B/op	       3 allocs/op
BenchmarkFillGammazeroStack/1-4         	10000000	       182 ns/op	     320 B/op	       3 allocs/op
BenchmarkFillGammazeroStack/10-4        	 3000000	       558 ns/op	     464 B/op	      12 allocs/op
BenchmarkFillGammazeroStack/10-4        	 3000000	       528 ns/op	     464 B/op	      12 allocs/op
BenchmarkFillGammazeroStack/10-4        	 3000000	       510 ns/op	     464 B/op	      12 allocs/op
BenchmarkFillGammazeroStack/10-4        	 3000000	       497 ns/op	     464 B/op	      12 allocs/op
BenchmarkFillGammazeroStack/10-4        	 3000000	       504 ns/op	     464 B/op	      12 allocs/op
BenchmarkFillGammazeroStack/10-4        	 3000000	       540 ns/op	     464 B/op	      12 allocs/op
BenchmarkFillGammazeroStack/10-4        	 3000000	       543 ns/op	     464 B/op	      12 allocs/op
BenchmarkFillGammazeroStack/10-4        	 3000000	       511 ns/op	     464 B/op	      12 allocs/op
BenchmarkFillGammazeroStack/10-4        	 3000000	       523 ns/op	     464 B/op	      12 allocs/op
BenchmarkFillGammazeroStack/10-4        	 3000000	       525 ns/op	     464 B/op	      12 allocs/op
BenchmarkFillGammazeroStack/100-4       	  300000	      5591 ns/op	    7280 B/op	     108 allocs/op
BenchmarkFillGammazeroStack/100-4       	  300000	      7947 ns/op	    7280 B/op	     108 allocs/op
BenchmarkFillGammazeroStack/100-4       	  300000	      5718 ns/op	    7280 B/op	     108 allocs/op
BenchmarkFillGammazeroStack/100-4       	  300000	      5508 ns/op	    7280 B/op	     108 allocs/op
BenchmarkFillGammazeroStack/100-4       	  300000	      5300 ns/op	    7280 B/op	     108 allocs/op
BenchmarkFillGammazeroStack/100-4       	  300000	      5231 ns/op	    7280 B/op	     108 allocs/op
BenchmarkFillGammazeroStack/100-4       	  300000	      5250 ns/op	    7280 B/op	     108 allocs/op
BenchmarkFillGammazeroStack/100-4       	  300000	      5190 ns/op	    7280 B/op	     108 allocs/op
BenchmarkFillGammazeroStack/100-4       	  300000	      5386 ns/op	    7280 B/op	     108 allocs/op
BenchmarkFillGammazeroStack/100-4       	  300000	      6058 ns/op	    7280 B/op	     108 allocs/op
BenchmarkFillGammazeroStack/1000-4      	   30000	     48370 ns/op	   64688 B/op	    1014 allocs/op
BenchmarkFillGammazeroStack/1000-4      	   30000	     45577 ns/op	   64688 B/op	    1014 allocs/op
BenchmarkFillGammazeroStack/1000-4      	   30000	     49476 ns/op	   64688 B/op	    1014 allocs/op
BenchmarkFillGammazeroStack/1000-4      	   30000	     47667 ns/op	   64688 B/op	    1014 allocs/op
BenchmarkFillGammazeroStack/1000-4      	   30000	     46353 ns/op	   64688 B/op	    1014 allocs/op
BenchmarkFillGammazeroStack/1000-4      	   30000	     47342 ns/op	   64688 B/op	    1014 allocs/op
BenchmarkFillGammazeroStack/1000-4      	   30000	     44462 ns/op	   64688 B/op	    1014 allocs/op
BenchmarkFillGammazeroStack/1000-4      	   30000	     47400 ns/op	   64688 B/op	    1014 allocs/op
BenchmarkFillGammazeroStack/1000-4      	   30000	     45698 ns/op	   64688 B/op	    1014 allocs/op
BenchmarkFillGammazeroStack/1000-4      	   30000	     46170 ns/op	   64688 B/op	    1014 allocs/op
BenchmarkFillGammazeroStack/10000-4     	    3000	    564478 ns/op	  945968 B/op	   10022 allocs/op
BenchmarkFillGammazeroStack/10000-4     	    3000	    549246 ns/op	  945968 B/op	   10022 allocs/op
BenchmarkFillGammazeroStack/10000-4     	    3000	    576302 ns/op	  945968 B/op	   10022 allocs/op
BenchmarkFillGammazeroStack/10000-4     	    3000	    563326 ns/op	  945968 B/op	   10022 allocs/op
BenchmarkFillGammazeroStack/10000-4     	    3000	    533739 ns/op	  945968 B/op	   10022 allocs/op
BenchmarkFillGammazeroStack/10000-4     	    3000	    525342 ns/op	  945968 B/op	   10022 allocs/op
BenchmarkFillGammazeroStack/10000-4     	    2000	    568123 ns/op	  945968 B/op	   10022 allocs/op
BenchmarkFillGammazeroStack/10000-4     	    3000	    519153 ns/op	  945968 B/op	   10022 allocs/op
BenchmarkFillGammazeroStack/10000-4     	    3000	    504046 ns/op	  945968 B/op	   10022 allocs/op
BenchmarkFillGammazeroStack/10000-4     	    3000	    515825 ns/op	  945968 B/op	   10022 allocs/op
BenchmarkFillGammazeroStack/100000-4    	     200	   6824303 ns/op	 7890992 B/op	  100028 allocs/op
BenchmarkFillGammazeroStack/100000-4    	     200	   7243530 ns/op	 7890992 B/op	  100028 allocs/op
BenchmarkFillGammazeroStack/100000-4    	     200	   7257891 ns/op	 7890992 B/op	  100028 allocs/op
BenchmarkFillGammazeroStack/100000-4    	     200	   7341548 ns/op	 7890992 B/op	  100028 allocs/op
BenchmarkFillGammazeroStack/100000-4    	     200	   7366984 ns/op	 7890992 B/op	  100028 allocs/op
BenchmarkFillGammazeroStack/100000-4    	     100	  10025974 ns/op	 7890992 B/op	  100028 allocs/op
BenchmarkFillGammazeroStack/100000-4    	     200	   7706715 ns/op	 7890992 B/op	  100028 allocs/op
BenchmarkFillGammazeroStack/100000-4    	     200	   7027471 ns/op	 7890992 B/op	  100028 allocs/op
BenchmarkFillGammazeroStack/100000-4    	     200	   6869060 ns/op	 7890992 B/op	  100028 allocs/op
BenchmarkFillGammazeroStack/100000-4    	     200	   7239155 ns/op	 7890992 B/op	  100028 allocs/op
BenchmarkFillGammazeroStack/1000000-4   	      20	  80733050 ns/op	66331184 B/op	 1000034 allocs/op
BenchmarkFillGammazeroStack/1000000-4   	      20	  83201522 ns/op	66331184 B/op	 1000034 allocs/op
BenchmarkFillGammazeroStack/1000000-4   	      20	  80392536 ns/op	66331184 B/op	 1000034 allocs/op
BenchmarkFillGammazeroStack/1000000-4   	      20	  78848678 ns/op	66331184 B/op	 1000034 allocs/op
BenchmarkFillGammazeroStack/1000000-4   	      20	  81539560 ns/op	66331184 B/op	 1000034 allocs/op
BenchmarkFillGammazeroStack/1000000-4   	      20	  79562379 ns/op	66331184 B/op	 1000034 allocs/op
BenchmarkFillGammazeroStack/1000000-4   	      20	  87685062 ns/op	66331184 B/op	 1000034 allocs/op
BenchmarkFillGammazeroStack/1000000-4   	      20	  78853077 ns/op	66331184 B/op	 1000034 allocs/op
BenchmarkFillGammazeroStack/1000000-4   	      20	  80192189 ns/op	66331184 B/op	 1000034 allocs/op
BenchmarkFillGammazeroStack/1000000-4   	      20	  79961323 ns/op	66331184 B/op	 1000034 allocs/op
BenchmarkMicroserviceGammazeroQueue/1-4 	 5000000	       396 ns/op	     416 B/op	       9 allocs/op
BenchmarkMicroserviceGammazeroQueue/1-4 	 5000000	       408 ns/op	     416 B/op	       9 allocs/op
BenchmarkMicroserviceGammazeroQueue/1-4 	 3000000	       396 ns/op	     416 B/op	       9 allocs/op
BenchmarkMicroserviceGammazeroQueue/1-4 	 5000000	       369 ns/op	     416 B/op	       9 allocs/op
BenchmarkMicroserviceGammazeroQueue/1-4 	 5000000	       366 ns/op	     416 B/op	       9 allocs/op
BenchmarkMicroserviceGammazeroQueue/1-4 	 5000000	       364 ns/op	     416 B/op	       9 allocs/op
BenchmarkMicroserviceGammazeroQueue/1-4 	 5000000	       365 ns/op	     416 B/op	       9 allocs/op
BenchmarkMicroserviceGammazeroQueue/1-4 	 5000000	       373 ns/op	     416 B/op	       9 allocs/op
BenchmarkMicroserviceGammazeroQueue/1-4 	 5000000	       381 ns/op	     416 B/op	       9 allocs/op
BenchmarkMicroserviceGammazeroQueue/1-4 	 5000000	       375 ns/op	     416 B/op	       9 allocs/op
BenchmarkMicroserviceGammazeroQueue/10-4         	 1000000	      2537 ns/op	    1424 B/op	      72 allocs/op
BenchmarkMicroserviceGammazeroQueue/10-4         	  500000	      2475 ns/op	    1424 B/op	      72 allocs/op
BenchmarkMicroserviceGammazeroQueue/10-4         	  500000	      2462 ns/op	    1424 B/op	      72 allocs/op
BenchmarkMicroserviceGammazeroQueue/10-4         	  500000	      2570 ns/op	    1424 B/op	      72 allocs/op
BenchmarkMicroserviceGammazeroQueue/10-4         	 1000000	      2488 ns/op	    1424 B/op	      72 allocs/op
BenchmarkMicroserviceGammazeroQueue/10-4         	  500000	      3240 ns/op	    1424 B/op	      72 allocs/op
BenchmarkMicroserviceGammazeroQueue/10-4         	  500000	      2570 ns/op	    1424 B/op	      72 allocs/op
BenchmarkMicroserviceGammazeroQueue/10-4         	  500000	      2858 ns/op	    1424 B/op	      72 allocs/op
BenchmarkMicroserviceGammazeroQueue/10-4         	  500000	      2671 ns/op	    1424 B/op	      72 allocs/op
BenchmarkMicroserviceGammazeroQueue/10-4         	  500000	      2522 ns/op	    1424 B/op	      72 allocs/op
BenchmarkMicroserviceGammazeroQueue/100-4        	   50000	     27388 ns/op	   22256 B/op	     714 allocs/op
BenchmarkMicroserviceGammazeroQueue/100-4        	   50000	     27139 ns/op	   22256 B/op	     714 allocs/op
BenchmarkMicroserviceGammazeroQueue/100-4        	   50000	     27052 ns/op	   22256 B/op	     714 allocs/op
BenchmarkMicroserviceGammazeroQueue/100-4        	   50000	     26492 ns/op	   22256 B/op	     714 allocs/op
BenchmarkMicroserviceGammazeroQueue/100-4        	   50000	     27356 ns/op	   22256 B/op	     714 allocs/op
BenchmarkMicroserviceGammazeroQueue/100-4        	   50000	     27427 ns/op	   22256 B/op	     714 allocs/op
BenchmarkMicroserviceGammazeroQueue/100-4        	   50000	     26361 ns/op	   22256 B/op	     714 allocs/op
BenchmarkMicroserviceGammazeroQueue/100-4        	   50000	     26053 ns/op	   22256 B/op	     714 allocs/op
BenchmarkMicroserviceGammazeroQueue/100-4        	   50000	     26873 ns/op	   22256 B/op	     714 allocs/op
BenchmarkMicroserviceGammazeroQueue/100-4        	   50000	     27709 ns/op	   22256 B/op	     714 allocs/op
BenchmarkMicroserviceGammazeroQueue/1000-4       	    5000	    246334 ns/op	  209072 B/op	    7026 allocs/op
BenchmarkMicroserviceGammazeroQueue/1000-4       	    5000	    253704 ns/op	  209072 B/op	    7026 allocs/op
BenchmarkMicroserviceGammazeroQueue/1000-4       	    5000	    261210 ns/op	  209072 B/op	    7026 allocs/op
BenchmarkMicroserviceGammazeroQueue/1000-4       	    5000	    253492 ns/op	  209072 B/op	    7026 allocs/op
BenchmarkMicroserviceGammazeroQueue/1000-4       	    5000	    251781 ns/op	  209072 B/op	    7026 allocs/op
BenchmarkMicroserviceGammazeroQueue/1000-4       	    5000	    254706 ns/op	  209072 B/op	    7026 allocs/op
BenchmarkMicroserviceGammazeroQueue/1000-4       	    5000	    249091 ns/op	  209072 B/op	    7026 allocs/op
BenchmarkMicroserviceGammazeroQueue/1000-4       	    5000	    250871 ns/op	  209072 B/op	    7026 allocs/op
BenchmarkMicroserviceGammazeroQueue/1000-4       	    5000	    250025 ns/op	  209072 B/op	    7026 allocs/op
BenchmarkMicroserviceGammazeroQueue/1000-4       	    5000	    248753 ns/op	  209072 B/op	    7026 allocs/op
