goos: darwin
goarch: amd64
pkg: github.com/ef-ds/deque
BenchmarkFillDequeStack/1-4         	10000000	       137 ns/op	     128 B/op	       4 allocs/op
BenchmarkFillDequeStack/1-4         	10000000	       141 ns/op	     128 B/op	       4 allocs/op
BenchmarkFillDequeStack/1-4         	10000000	       142 ns/op	     128 B/op	       4 allocs/op
BenchmarkFillDequeStack/1-4         	10000000	       145 ns/op	     128 B/op	       4 allocs/op
BenchmarkFillDequeStack/1-4         	10000000	       154 ns/op	     128 B/op	       4 allocs/op
BenchmarkFillDequeStack/1-4         	10000000	       152 ns/op	     128 B/op	       4 allocs/op
BenchmarkFillDequeStack/1-4         	10000000	       146 ns/op	     128 B/op	       4 allocs/op
BenchmarkFillDequeStack/10-4        	 2000000	       669 ns/op	     592 B/op	      15 allocs/op
BenchmarkFillDequeStack/10-4        	 2000000	       664 ns/op	     592 B/op	      15 allocs/op
BenchmarkFillDequeStack/10-4        	 2000000	       655 ns/op	     592 B/op	      15 allocs/op
BenchmarkFillDequeStack/10-4        	 2000000	       666 ns/op	     592 B/op	      15 allocs/op
BenchmarkFillDequeStack/10-4        	 2000000	       637 ns/op	     592 B/op	      15 allocs/op
BenchmarkFillDequeStack/10-4        	 2000000	       637 ns/op	     592 B/op	      15 allocs/op
BenchmarkFillDequeStack/10-4        	 2000000	       658 ns/op	     592 B/op	      15 allocs/op
BenchmarkFillDequeStack/10-4        	 2000000	       684 ns/op	     592 B/op	      15 allocs/op
BenchmarkFillDequeStack/10-4        	 2000000	       672 ns/op	     592 B/op	      15 allocs/op
BenchmarkFillDequeStack/10-4        	 2000000	       676 ns/op	     592 B/op	      15 allocs/op
BenchmarkFillDequeStack/100-4       	  300000	      5037 ns/op	    6176 B/op	     107 allocs/op
BenchmarkFillDequeStack/100-4       	  300000	      5010 ns/op	    6176 B/op	     107 allocs/op
BenchmarkFillDequeStack/100-4       	  300000	      4886 ns/op	    6176 B/op	     107 allocs/op
BenchmarkFillDequeStack/100-4       	  300000	      4866 ns/op	    6176 B/op	     107 allocs/op
BenchmarkFillDequeStack/100-4       	  300000	      4670 ns/op	    6176 B/op	     107 allocs/op
BenchmarkFillDequeStack/100-4       	  300000	      4801 ns/op	    6176 B/op	     107 allocs/op
BenchmarkFillDequeStack/100-4       	  300000	      4568 ns/op	    6176 B/op	     107 allocs/op
BenchmarkFillDequeStack/100-4       	  300000	      4743 ns/op	    6176 B/op	     107 allocs/op
BenchmarkFillDequeStack/100-4       	  300000	      4804 ns/op	    6176 B/op	     107 allocs/op
BenchmarkFillDequeStack/100-4       	  300000	      4826 ns/op	    6176 B/op	     107 allocs/op
BenchmarkFillDequeStack/1000-4      	   50000	     39100 ns/op	   33008 B/op	    1013 allocs/op
BenchmarkFillDequeStack/1000-4      	   50000	     39952 ns/op	   33008 B/op	    1013 allocs/op
BenchmarkFillDequeStack/1000-4      	   50000	     39295 ns/op	   33008 B/op	    1013 allocs/op
BenchmarkFillDequeStack/1000-4      	   50000	     38036 ns/op	   33008 B/op	    1013 allocs/op
BenchmarkFillDequeStack/1000-4      	   30000	     39743 ns/op	   33008 B/op	    1013 allocs/op
BenchmarkFillDequeStack/1000-4      	   50000	     37503 ns/op	   33008 B/op	    1013 allocs/op
BenchmarkFillDequeStack/1000-4      	   50000	     37282 ns/op	   33008 B/op	    1013 allocs/op
BenchmarkFillDequeStack/1000-4      	   50000	     37127 ns/op	   33008 B/op	    1013 allocs/op
BenchmarkFillDequeStack/1000-4      	   50000	     37146 ns/op	   33008 B/op	    1013 allocs/op
BenchmarkFillDequeStack/1000-4      	   50000	     36936 ns/op	   33008 B/op	    1013 allocs/op
BenchmarkFillDequeStack/10000-4     	    5000	    371074 ns/op	  322048 B/op	   10083 allocs/op
BenchmarkFillDequeStack/10000-4     	    5000	    371037 ns/op	  322048 B/op	   10083 allocs/op
BenchmarkFillDequeStack/10000-4     	    5000	    370555 ns/op	  322048 B/op	   10083 allocs/op
BenchmarkFillDequeStack/10000-4     	    5000	    368736 ns/op	  322048 B/op	   10083 allocs/op
BenchmarkFillDequeStack/10000-4     	    5000	    376956 ns/op	  322048 B/op	   10083 allocs/op
BenchmarkFillDequeStack/10000-4     	    3000	    398320 ns/op	  322048 B/op	   10083 allocs/op
BenchmarkFillDequeStack/10000-4     	    3000	    398293 ns/op	  322048 B/op	   10083 allocs/op
BenchmarkFillDequeStack/10000-4     	    5000	    375722 ns/op	  322048 B/op	   10083 allocs/op
BenchmarkFillDequeStack/10000-4     	    5000	    386497 ns/op	  322048 B/op	   10083 allocs/op
BenchmarkFillDequeStack/10000-4     	    3000	    401423 ns/op	  322048 B/op	   10083 allocs/op
BenchmarkFillDequeStack/100000-4    	     300	   4327710 ns/op	 3220736 B/op	  100787 allocs/op
BenchmarkFillDequeStack/100000-4    	     300	   4179949 ns/op	 3220736 B/op	  100787 allocs/op
BenchmarkFillDequeStack/100000-4    	     300	   3940052 ns/op	 3220736 B/op	  100787 allocs/op
BenchmarkFillDequeStack/100000-4    	     500	   4165825 ns/op	 3220736 B/op	  100787 allocs/op
BenchmarkFillDequeStack/100000-4    	     500	   4096062 ns/op	 3220736 B/op	  100787 allocs/op
BenchmarkFillDequeStack/100000-4    	     300	   3912170 ns/op	 3220736 B/op	  100787 allocs/op
BenchmarkFillDequeStack/100000-4    	     500	   4109788 ns/op	 3220736 B/op	  100787 allocs/op
BenchmarkFillDequeStack/100000-4    	     300	   3985141 ns/op	 3220736 B/op	  100787 allocs/op
BenchmarkFillDequeStack/100000-4    	     500	   4109255 ns/op	 3220736 B/op	  100787 allocs/op
BenchmarkFillDequeStack/100000-4    	     300	   4457552 ns/op	 3220736 B/op	  100787 allocs/op
BenchmarkFillDequeStack/1000000-4   	      30	  48789785 ns/op	32191040 B/op	 1007819 allocs/op
BenchmarkFillDequeStack/1000000-4   	      30	  48707247 ns/op	32191040 B/op	 1007819 allocs/op
BenchmarkFillDequeStack/1000000-4   	      30	  46726582 ns/op	32191040 B/op	 1007819 allocs/op
BenchmarkFillDequeStack/1000000-4   	      30	  50918497 ns/op	32191040 B/op	 1007819 allocs/op
BenchmarkFillDequeStack/1000000-4   	      30	  48146083 ns/op	32191043 B/op	 1007819 allocs/op
BenchmarkFillDequeStack/1000000-4   	      30	  48500638 ns/op	32191040 B/op	 1007819 allocs/op
BenchmarkFillDequeStack/1000000-4   	      30	  46347418 ns/op	32191040 B/op	 1007819 allocs/op
BenchmarkFillDequeStack/1000000-4   	      30	  49292647 ns/op	32191040 B/op	 1007819 allocs/op
BenchmarkFillDequeStack/1000000-4   	      30	  48917889 ns/op	32191040 B/op	 1007819 allocs/op
BenchmarkFillDequeStack/1000000-4   	      30	  47879010 ns/op	32191040 B/op	 1007819 allocs/op
BenchmarkMicroserviceDequeQueue/1-4 	 3000000	       533 ns/op	     544 B/op	      12 allocs/op
BenchmarkMicroserviceDequeQueue/1-4 	 2000000	       567 ns/op	     544 B/op	      12 allocs/op
BenchmarkMicroserviceDequeQueue/1-4 	 3000000	       540 ns/op	     544 B/op	      12 allocs/op
BenchmarkMicroserviceDequeQueue/1-4 	 3000000	       526 ns/op	     544 B/op	      12 allocs/op
BenchmarkMicroserviceDequeQueue/1-4 	 3000000	       558 ns/op	     544 B/op	      12 allocs/op
BenchmarkMicroserviceDequeQueue/1-4 	 3000000	       522 ns/op	     544 B/op	      12 allocs/op
BenchmarkMicroserviceDequeQueue/1-4 	 3000000	       543 ns/op	     544 B/op	      12 allocs/op
BenchmarkMicroserviceDequeQueue/1-4 	 3000000	       534 ns/op	     544 B/op	      12 allocs/op
BenchmarkMicroserviceDequeQueue/1-4 	 3000000	       528 ns/op	     544 B/op	      12 allocs/op
BenchmarkMicroserviceDequeQueue/1-4 	 3000000	       557 ns/op	     544 B/op	      12 allocs/op
BenchmarkMicroserviceDequeQueue/10-4         	  500000	      3820 ns/op	    5696 B/op	      77 allocs/op
BenchmarkMicroserviceDequeQueue/10-4         	  500000	      3635 ns/op	    5696 B/op	      77 allocs/op
BenchmarkMicroserviceDequeQueue/10-4         	  500000	      3571 ns/op	    5696 B/op	      77 allocs/op
BenchmarkMicroserviceDequeQueue/10-4         	  500000	      3743 ns/op	    5696 B/op	      77 allocs/op
BenchmarkMicroserviceDequeQueue/10-4         	  500000	      3700 ns/op	    5696 B/op	      77 allocs/op
BenchmarkMicroserviceDequeQueue/10-4         	  500000	      3666 ns/op	    5696 B/op	      77 allocs/op
BenchmarkMicroserviceDequeQueue/10-4         	  300000	      3757 ns/op	    5696 B/op	      77 allocs/op
BenchmarkMicroserviceDequeQueue/10-4         	  500000	      3801 ns/op	    5696 B/op	      77 allocs/op
BenchmarkMicroserviceDequeQueue/10-4         	  500000	      3742 ns/op	    5696 B/op	      77 allocs/op
BenchmarkMicroserviceDequeQueue/10-4         	  300000	      3617 ns/op	    5696 B/op	      77 allocs/op
BenchmarkMicroserviceDequeQueue/100-4        	   50000	     25332 ns/op	   15776 B/op	     707 allocs/op
BenchmarkMicroserviceDequeQueue/100-4        	   50000	     24409 ns/op	   15776 B/op	     707 allocs/op
BenchmarkMicroserviceDequeQueue/100-4        	   50000	     24337 ns/op	   15776 B/op	     707 allocs/op
BenchmarkMicroserviceDequeQueue/100-4        	   50000	     24610 ns/op	   15776 B/op	     707 allocs/op
BenchmarkMicroserviceDequeQueue/100-4        	   50000	     24133 ns/op	   15776 B/op	     707 allocs/op
BenchmarkMicroserviceDequeQueue/100-4        	   50000	     24889 ns/op	   15776 B/op	     707 allocs/op
BenchmarkMicroserviceDequeQueue/100-4        	   50000	     25237 ns/op	   15776 B/op	     707 allocs/op
BenchmarkMicroserviceDequeQueue/100-4        	   50000	     24908 ns/op	   15776 B/op	     707 allocs/op
BenchmarkMicroserviceDequeQueue/100-4        	   50000	     24401 ns/op	   15776 B/op	     707 allocs/op
BenchmarkMicroserviceDequeQueue/100-4        	   50000	     24846 ns/op	   15776 B/op	     707 allocs/op
BenchmarkMicroserviceDequeQueue/1000-4       	    5000	    248144 ns/op	  137296 B/op	    7017 allocs/op
BenchmarkMicroserviceDequeQueue/1000-4       	    5000	    253983 ns/op	  137296 B/op	    7017 allocs/op
BenchmarkMicroserviceDequeQueue/1000-4       	    5000	    243595 ns/op	  137296 B/op	    7017 allocs/op
BenchmarkMicroserviceDequeQueue/1000-4       	    5000	    242358 ns/op	  137296 B/op	    7017 allocs/op
BenchmarkMicroserviceDequeQueue/1000-4       	    5000	    241194 ns/op	  137296 B/op	    7017 allocs/op
BenchmarkMicroserviceDequeQueue/1000-4       	   10000	    251583 ns/op	  137296 B/op	    7017 allocs/op
BenchmarkMicroserviceDequeQueue/1000-4       	    5000	    253759 ns/op	  137296 B/op	    7017 allocs/op
BenchmarkMicroserviceDequeQueue/1000-4       	    5000	    235599 ns/op	  137296 B/op	    7017 allocs/op
BenchmarkMicroserviceDequeQueue/1000-4       	    5000	    236818 ns/op	  137296 B/op	    7017 allocs/op
BenchmarkMicroserviceDequeQueue/1000-4       	    5000	    247556 ns/op	  137296 B/op	    7017 allocs/op
BenchmarkMicroserviceDequeQueue/10000-4      	     500	   2584056 ns/op	 1435376 B/op	   70157 allocs/op
BenchmarkMicroserviceDequeQueue/10000-4      	     500	   2450369 ns/op	 1435376 B/op	   70157 allocs/op
BenchmarkMicroserviceDequeQueue/10000-4      	     500	   2544193 ns/op	 1435376 B/op	   70157 allocs/op
BenchmarkMicroserviceDequeQueue/10000-4      	     500	   2487463 ns/op	 1435376 B/op	   70157 allocs/op
