goos: darwin
goarch: amd64
pkg: github.com/ef-ds/deque
BenchmarkFillDequeStack/1000-4      	   50000	     36413 ns/op	   33024 B/op	    1013 allocs/op
BenchmarkFillDequeStack/1000-4      	   50000	     35983 ns/op	   33024 B/op	    1013 allocs/op
BenchmarkFillDequeStack/1000-4      	   50000	     36033 ns/op	   33024 B/op	    1013 allocs/op
BenchmarkFillDequeStack/1000-4      	   50000	     35947 ns/op	   33024 B/op	    1013 allocs/op
BenchmarkFillDequeStack/1000-4      	   50000	     36178 ns/op	   33024 B/op	    1013 allocs/op
BenchmarkFillDequeStack/1000-4      	   50000	     36274 ns/op	   33024 B/op	    1013 allocs/op
BenchmarkFillDequeStack/1000-4      	   50000	     36311 ns/op	   33024 B/op	    1013 allocs/op
BenchmarkFillDequeStack/1000-4      	   50000	     36188 ns/op	   33024 B/op	    1013 allocs/op
BenchmarkFillDequeStack/10000-4     	    5000	    359245 ns/op	  322064 B/op	   10083 allocs/op
BenchmarkFillDequeStack/10000-4     	    5000	    383938 ns/op	  322064 B/op	   10083 allocs/op
BenchmarkFillDequeStack/10000-4     	    5000	    372600 ns/op	  322064 B/op	   10083 allocs/op
BenchmarkFillDequeStack/10000-4     	    5000	    364023 ns/op	  322064 B/op	   10083 allocs/op
BenchmarkFillDequeStack/10000-4     	    5000	    382878 ns/op	  322064 B/op	   10083 allocs/op
BenchmarkFillDequeStack/10000-4     	    3000	    400550 ns/op	  322064 B/op	   10083 allocs/op
BenchmarkFillDequeStack/10000-4     	    5000	    386738 ns/op	  322064 B/op	   10083 allocs/op
BenchmarkFillDequeStack/10000-4     	    5000	    386261 ns/op	  322064 B/op	   10083 allocs/op
BenchmarkFillDequeStack/10000-4     	    5000	    407815 ns/op	  322064 B/op	   10083 allocs/op
BenchmarkFillDequeStack/10000-4     	    5000	    382558 ns/op	  322064 B/op	   10083 allocs/op
BenchmarkFillDequeStack/100000-4    	     300	   4371001 ns/op	 3220752 B/op	  100787 allocs/op
BenchmarkFillDequeStack/100000-4    	     300	   4014967 ns/op	 3220752 B/op	  100787 allocs/op
BenchmarkFillDequeStack/100000-4    	     300	   4061295 ns/op	 3220752 B/op	  100787 allocs/op
BenchmarkFillDequeStack/100000-4    	     300	   4459801 ns/op	 3220752 B/op	  100787 allocs/op
BenchmarkFillDequeStack/100000-4    	     300	   4146231 ns/op	 3220752 B/op	  100787 allocs/op
BenchmarkFillDequeStack/100000-4    	     300	   3874192 ns/op	 3220752 B/op	  100787 allocs/op
BenchmarkFillDequeStack/100000-4    	     500	   3804968 ns/op	 3220752 B/op	  100787 allocs/op
BenchmarkFillDequeStack/100000-4    	     500	   3906216 ns/op	 3220752 B/op	  100787 allocs/op
BenchmarkFillDequeStack/100000-4    	     300	   3929004 ns/op	 3220752 B/op	  100787 allocs/op
BenchmarkFillDequeStack/100000-4    	     300	   4441921 ns/op	 3220752 B/op	  100787 allocs/op
BenchmarkFillDequeStack/1000000-4   	      30	  44701713 ns/op	32191056 B/op	 1007819 allocs/op
BenchmarkFillDequeStack/1000000-4   	      30	  46158527 ns/op	32191056 B/op	 1007819 allocs/op
BenchmarkFillDequeStack/1000000-4   	      30	  44282832 ns/op	32191056 B/op	 1007819 allocs/op
BenchmarkFillDequeStack/1000000-4   	      30	  43059254 ns/op	32191056 B/op	 1007819 allocs/op
BenchmarkFillDequeStack/1000000-4   	      30	  43899399 ns/op	32191056 B/op	 1007819 allocs/op
BenchmarkFillDequeStack/1000000-4   	      30	  44072332 ns/op	32191056 B/op	 1007819 allocs/op
BenchmarkFillDequeStack/1000000-4   	      30	  45497096 ns/op	32191056 B/op	 1007819 allocs/op
BenchmarkFillDequeStack/1000000-4   	      30	  48378486 ns/op	32191056 B/op	 1007819 allocs/op
BenchmarkFillDequeStack/1000000-4   	      30	  44546596 ns/op	32191056 B/op	 1007819 allocs/op
BenchmarkFillDequeStack/1000000-4   	      30	  44597321 ns/op	32191056 B/op	 1007819 allocs/op
BenchmarkMicroserviceDequeQueue/1-4 	 3000000	       521 ns/op	     560 B/op	      12 allocs/op
BenchmarkMicroserviceDequeQueue/1-4 	 3000000	       509 ns/op	     560 B/op	      12 allocs/op
