goos: darwin
goarch: amd64
pkg: github.com/ef-ds/deque
BenchmarkFillImpl7Queue/0-4         	50000000	        36.9 ns/op	      48 B/op	       1 allocs/op
BenchmarkFillImpl7Queue/100-4       	  300000	      4266 ns/op	    4256 B/op	     109 allocs/op
BenchmarkFillImpl7Queue/100-4       	  300000	      4251 ns/op	    4256 B/op	     109 allocs/op
BenchmarkFillImpl7Queue/100-4       	  300000	      4218 ns/op	    4256 B/op	     109 allocs/op
BenchmarkFillImpl7Queue/100-4       	  300000	      4241 ns/op	    4256 B/op	     109 allocs/op
BenchmarkFillImpl7Queue/100-4       	  300000	      4295 ns/op	    4256 B/op	     109 allocs/op
BenchmarkFillImpl7Queue/1000-4      	   50000	     37063 ns/op	   33216 B/op	    1023 allocs/op
BenchmarkFillImpl7Queue/1000-4      	   30000	     39181 ns/op	   33216 B/op	    1023 allocs/op
BenchmarkFillImpl7Queue/1000-4      	   50000	     36901 ns/op	   33216 B/op	    1023 allocs/op
BenchmarkFillImpl7Queue/1000-4      	   50000	     37507 ns/op	   33216 B/op	    1023 allocs/op
BenchmarkFillImpl7Queue/1000-4      	   50000	     41130 ns/op	   33216 B/op	    1023 allocs/op
BenchmarkFillImpl7Queue/1000-4      	   50000	     39311 ns/op	   33216 B/op	    1023 allocs/op
BenchmarkFillImpl7Queue/1000-4      	   30000	     41563 ns/op	   33216 B/op	    1023 allocs/op
BenchmarkFillImpl7Queue/1000-4      	   30000	     38421 ns/op	   33216 B/op	    1023 allocs/op
BenchmarkFillImpl7Queue/1000-4      	   30000	     38487 ns/op	   33216 B/op	    1023 allocs/op
BenchmarkFillImpl7Queue/1000-4      	   50000	     38296 ns/op	   33216 B/op	    1023 allocs/op
BenchmarkFillImpl7Queue/10000-4     	    5000	    407848 ns/op	  322816 B/op	   10163 allocs/op
BenchmarkFillImpl7Queue/10000-4     	    5000	    388913 ns/op	  322816 B/op	   10163 allocs/op
BenchmarkFillImpl7Queue/10000-4     	    3000	    405022 ns/op	  322816 B/op	   10163 allocs/op
BenchmarkFillImpl7Queue/10000-4     	    3000	    401938 ns/op	  322816 B/op	   10163 allocs/op
BenchmarkFillImpl7Queue/10000-4     	    3000	    377975 ns/op	  322816 B/op	   10163 allocs/op
BenchmarkFillImpl7Queue/10000-4     	    5000	    394539 ns/op	  322816 B/op	   10163 allocs/op
BenchmarkFillImpl7Queue/10000-4     	    3000	    376463 ns/op	  322816 B/op	   10163 allocs/op
BenchmarkFillImpl7Queue/10000-4     	    5000	    376873 ns/op	  322816 B/op	   10163 allocs/op
BenchmarkFillImpl7Queue/10000-4     	    5000	    372694 ns/op	  322816 B/op	   10163 allocs/op
BenchmarkFillImpl7Queue/10000-4     	    5000	    379219 ns/op	  322816 B/op	   10163 allocs/op
BenchmarkFillImpl7Queue/100000-4    	     500	   4034965 ns/op	 3227136 B/op	  101571 allocs/op
BenchmarkFillImpl7Queue/100000-4    	     300	   3985544 ns/op	 3227136 B/op	  101571 allocs/op
BenchmarkFillImpl7Queue/100000-4    	     500	   3899643 ns/op	 3227136 B/op	  101571 allocs/op
BenchmarkFillImpl7Queue/100000-4    	     500	   3928107 ns/op	 3227136 B/op	  101571 allocs/op
BenchmarkFillImpl7Queue/100000-4    	     500	   3941350 ns/op	 3227136 B/op	  101571 allocs/op
BenchmarkFillImpl7Queue/100000-4    	     500	   3998463 ns/op	 3227136 B/op	  101571 allocs/op
BenchmarkFillImpl7Queue/100000-4    	     500	   3886974 ns/op	 3227136 B/op	  101571 allocs/op
BenchmarkFillImpl7Queue/100000-4    	     500	   3907291 ns/op	 3227136 B/op	  101571 allocs/op
BenchmarkFillImpl7Queue/100000-4    	     300	   4899911 ns/op	 3227136 B/op	  101571 allocs/op
BenchmarkFillImpl7Queue/100000-4    	     500	   5309363 ns/op	 3227136 B/op	  101571 allocs/op
BenchmarkFillImpl7Queue/1000000-4   	      30	  50867107 ns/op	32251619 B/op	 1015633 allocs/op
BenchmarkFillImpl7Queue/1000000-4   	      30	  45624009 ns/op	32251616 B/op	 1015633 allocs/op
BenchmarkFillImpl7Queue/1000000-4   	      30	  45064938 ns/op	32251616 B/op	 1015633 allocs/op
BenchmarkFillImpl7Queue/1000000-4   	      30	  47905531 ns/op	32251616 B/op	 1015633 allocs/op
BenchmarkFillImpl7Queue/1000000-4   	      30	  45334527 ns/op	32251616 B/op	 1015633 allocs/op
BenchmarkFillImpl7Queue/1000000-4   	      30	  46445668 ns/op	32251616 B/op	 1015633 allocs/op
BenchmarkFillImpl7Queue/1000000-4   	      30	  46044190 ns/op	32251616 B/op	 1015633 allocs/op
BenchmarkFillImpl7Queue/1000000-4   	      30	  45887214 ns/op	32251616 B/op	 1015633 allocs/op
BenchmarkFillImpl7Queue/1000000-4   	      30	  45225584 ns/op	32251616 B/op	 1015633 allocs/op
BenchmarkFillImpl7Queue/1000000-4   	      30	  45635123 ns/op	32251616 B/op	 1015633 allocs/op
BenchmarkMicroserviceImpl7Queue/1-4 	 2000000	       783 ns/op	     432 B/op	      17 allocs/op
BenchmarkMicroserviceImpl7Queue/1-4 	 2000000	       625 ns/op	     432 B/op	      17 allocs/op
BenchmarkMicroserviceImpl7Queue/1-4 	 2000000	       627 ns/op	     432 B/op	      17 allocs/op
BenchmarkMicroserviceImpl7Queue/1-4 	 2000000	       645 ns/op	     432 B/op	      17 allocs/op
BenchmarkMicroserviceImpl7Queue/1-4 	 2000000	       626 ns/op	     432 B/op	      17 allocs/op
BenchmarkMicroserviceImpl7Queue/1-4 	 2000000	       633 ns/op	     432 B/op	      17 allocs/op
BenchmarkMicroserviceImpl7Queue/1-4 	 2000000	       662 ns/op	     432 B/op	      17 allocs/op
BenchmarkMicroserviceImpl7Queue/1-4 	 2000000	       711 ns/op	     432 B/op	      17 allocs/op
BenchmarkMicroserviceImpl7Queue/1-4 	 2000000	       635 ns/op	     432 B/op	      17 allocs/op
BenchmarkMicroserviceImpl7Queue/1-4 	 2000000	       654 ns/op	     432 B/op	      17 allocs/op
BenchmarkMicroserviceImpl7Queue/10-4         	  300000	      5014 ns/op	    6912 B/op	     109 allocs/op
BenchmarkMicroserviceImpl7Queue/10-4         	  300000	      4777 ns/op	    6912 B/op	     109 allocs/op
BenchmarkMicroserviceImpl7Queue/10-4         	  300000	      5055 ns/op	    6912 B/op	     109 allocs/op
BenchmarkMicroserviceImpl7Queue/10-4         	  300000	      4902 ns/op	    6912 B/op	     109 allocs/op
BenchmarkMicroserviceImpl7Queue/10-4         	  300000	      4657 ns/op	    6912 B/op	     109 allocs/op
BenchmarkMicroserviceImpl7Queue/10-4         	  300000	      4650 ns/op	    6912 B/op	     109 allocs/op
BenchmarkMicroserviceImpl7Queue/10-4         	  300000	      4706 ns/op	    6912 B/op	     109 allocs/op
BenchmarkMicroserviceImpl7Queue/10-4         	  300000	      4674 ns/op	    6912 B/op	     109 allocs/op
BenchmarkMicroserviceImpl7Queue/10-4         	  300000	      4884 ns/op	    6912 B/op	     109 allocs/op
BenchmarkMicroserviceImpl7Queue/10-4         	  300000	      4830 ns/op	    6912 B/op	     109 allocs/op
BenchmarkMicroserviceImpl7Queue/100-4        	   50000	     31706 ns/op	   29632 B/op	     927 allocs/op
BenchmarkMicroserviceImpl7Queue/100-4        	   50000	     31442 ns/op	   29632 B/op	     927 allocs/op
BenchmarkMicroserviceImpl7Queue/100-4        	   50000	     31609 ns/op	   29632 B/op	     927 allocs/op
BenchmarkMicroserviceImpl7Queue/100-4        	   50000	     31632 ns/op	   29632 B/op	     927 allocs/op
BenchmarkMicroserviceImpl7Queue/100-4        	   50000	     32839 ns/op	   29632 B/op	     927 allocs/op
BenchmarkMicroserviceImpl7Queue/100-4        	   50000	     31252 ns/op	   29632 B/op	     927 allocs/op
BenchmarkMicroserviceImpl7Queue/100-4        	   50000	     33045 ns/op	   29632 B/op	     927 allocs/op
BenchmarkMicroserviceImpl7Queue/100-4        	   50000	     33068 ns/op	   29632 B/op	     927 allocs/op
BenchmarkMicroserviceImpl7Queue/100-4        	   50000	     33315 ns/op	   29632 B/op	     927 allocs/op
BenchmarkMicroserviceImpl7Queue/100-4        	   50000	     32949 ns/op	   29632 B/op	     927 allocs/op
BenchmarkMicroserviceImpl7Queue/1000-4       	    5000	    298604 ns/op	  260992 B/op	    9111 allocs/op
BenchmarkMicroserviceImpl7Queue/1000-4       	    5000	    310222 ns/op	  260992 B/op	    9111 allocs/op
BenchmarkMicroserviceImpl7Queue/1000-4       	    5000	    318370 ns/op	  260992 B/op	    9111 allocs/op
BenchmarkMicroserviceImpl7Queue/1000-4       	    5000	    309591 ns/op	  260992 B/op	    9111 allocs/op
BenchmarkMicroserviceImpl7Queue/1000-4       	    5000	    321349 ns/op	  260992 B/op	    9111 allocs/op
BenchmarkMicroserviceImpl7Queue/1000-4       	    5000	    310085 ns/op	  260992 B/op	    9111 allocs/op
BenchmarkMicroserviceImpl7Queue/1000-4       	    5000	    326769 ns/op	  260992 B/op	    9111 allocs/op
BenchmarkMicroserviceImpl7Queue/1000-4       	    5000	    305636 ns/op	  260992 B/op	    9111 allocs/op
BenchmarkMicroserviceImpl7Queue/1000-4       	    5000	    306791 ns/op	  260992 B/op	    9111 allocs/op
BenchmarkMicroserviceImpl7Queue/1000-4       	    5000	    322626 ns/op	  260992 B/op	    9111 allocs/op
BenchmarkMicroserviceImpl7Queue/10000-4      	     500	   3105967 ns/op	 2578752 B/op	   90955 allocs/op
BenchmarkMicroserviceImpl7Queue/10000-4      	     500	   3071995 ns/op	 2578752 B/op	   90955 allocs/op
BenchmarkMicroserviceImpl7Queue/10000-4      	     500	   3317673 ns/op	 2578752 B/op	   90955 allocs/op
BenchmarkMicroserviceImpl7Queue/10000-4      	     500	   3532125 ns/op	 2578752 B/op	   90955 allocs/op
BenchmarkMicroserviceImpl7Queue/10000-4      	     500	   3014146 ns/op	 2578752 B/op	   90955 allocs/op
BenchmarkMicroserviceImpl7Queue/10000-4      	     500	   3342557 ns/op	 2578752 B/op	   90955 allocs/op
BenchmarkMicroserviceImpl7Queue/10000-4      	     500	   3140764 ns/op	 2578752 B/op	   90955 allocs/op
BenchmarkMicroserviceImpl7Queue/10000-4      	     500	   3052758 ns/op	 2578752 B/op	   90955 allocs/op
BenchmarkMicroserviceImpl7Queue/10000-4      	     500	   3144545 ns/op	 2578752 B/op	   90955 allocs/op
BenchmarkMicroserviceImpl7Queue/10000-4      	     500	   3014958 ns/op	 2578752 B/op	   90955 allocs/op
BenchmarkMicroserviceImpl7Queue/100000-4     	      50	  32472032 ns/op	25752193 B/op	  909391 allocs/op
BenchmarkMicroserviceImpl7Queue/100000-4     	      50	  32419323 ns/op	25752195 B/op	  909391 allocs/op
BenchmarkMicroserviceImpl7Queue/100000-4     	      50	  33141671 ns/op	25752195 B/op	  909391 allocs/op
BenchmarkMicroserviceImpl7Queue/100000-4     	      50	  32913104 ns/op	25752192 B/op	  909391 allocs/op
BenchmarkMicroserviceImpl7Queue/100000-4     	      50	  33675675 ns/op	25752192 B/op	  909391 allocs/op
BenchmarkMicroserviceImpl7Queue/100000-4     	      50	  39628691 ns/op	25752193 B/op	  909391 allocs/op
BenchmarkMicroserviceImpl7Queue/100000-4     	      50	  33479729 ns/op	25752193 B/op	  909391 allocs/op
BenchmarkMicroserviceImpl7Queue/100000-4     	      50	  33938877 ns/op	25752192 B/op	  909391 allocs/op
BenchmarkMicroserviceImpl7Queue/100000-4     	      50	  33061107 ns/op	25752193 B/op	  909391 allocs/op
BenchmarkMicroserviceImpl7Queue/100000-4     	      50	  38434827 ns/op	25752201 B/op	  909391 allocs/op
BenchmarkMicroserviceImpl7Queue/1000000-4    	       3	 353455863 ns/op	257503232 B/op	 9093767 allocs/op
BenchmarkMicroserviceImpl7Queue/1000000-4    	       3	 334271740 ns/op	257503232 B/op	 9093767 allocs/op
BenchmarkMicroserviceImpl7Queue/1000000-4    	       3	 340596180 ns/op	257503232 B/op	 9093767 allocs/op
BenchmarkMicroserviceImpl7Queue/1000000-4    	       3	 335056193 ns/op	257503232 B/op	 9093767 allocs/op
BenchmarkMicroserviceImpl7Queue/1000000-4    	       3	 359361865 ns/op	257503232 B/op	 9093767 allocs/op
BenchmarkMicroserviceImpl7Queue/1000000-4    	       3	 346749306 ns/op	257503232 B/op	 9093767 allocs/op
BenchmarkMicroserviceImpl7Queue/1000000-4    	       3	 351346656 ns/op	257503232 B/op	 9093767 allocs/op
BenchmarkMicroserviceImpl7Queue/1000000-4    	       3	 343350757 ns/op	257503232 B/op	 9093767 allocs/op
BenchmarkMicroserviceImpl7Queue/1000000-4    	       3	 336666963 ns/op	257503232 B/op	 9093767 allocs/op
BenchmarkMicroserviceImpl7Queue/1000000-4    	       3	 374741834 ns/op	257503232 B/op	 9093767 allocs/op
BenchmarkRefillFullImpl7Queue/1-4            	  300000	      4365 ns/op	    3225 B/op	     101 allocs/op
BenchmarkRefillFullImpl7Queue/1-4            	  300000	      4309 ns/op	    3225 B/op	     101 allocs/op
BenchmarkRefillFullImpl7Queue/1-4            	  300000	      4079 ns/op	    3225 B/op	     101 allocs/op
BenchmarkRefillFullImpl7Queue/1-4            	  500000	      4425 ns/op	    3225 B/op	     101 allocs/op
BenchmarkRefillFullImpl7Queue/1-4            	  300000	      4250 ns/op	    3225 B/op	     101 allocs/op
BenchmarkRefillFullImpl7Queue/1-4            	  500000	      4231 ns/op	    3225 B/op	     101 allocs/op
BenchmarkRefillFullImpl7Queue/1-4            	  300000	      4369 ns/op	    3225 B/op	     101 allocs/op
BenchmarkRefillFullImpl7Queue/1-4            	  500000	      4192 ns/op	    3225 B/op	     101 allocs/op
BenchmarkRefillFullImpl7Queue/1-4            	  300000	      4134 ns/op	    3225 B/op	     101 allocs/op
BenchmarkRefillFullImpl7Queue/1-4            	  500000	      4052 ns/op	    3225 B/op	     101 allocs/op
BenchmarkRefillFullImpl7Queue/10-4           	   50000	     40114 ns/op	   32250 B/op	    1015 allocs/op
BenchmarkRefillFullImpl7Queue/10-4           	   50000	     40079 ns/op	   32250 B/op	    1015 allocs/op
BenchmarkRefillFullImpl7Queue/10-4           	   50000	     39985 ns/op	   32250 B/op	    1015 allocs/op
BenchmarkRefillFullImpl7Queue/10-4           	   30000	     42419 ns/op	   32250 B/op	    1015 allocs/op
BenchmarkRefillFullImpl7Queue/10-4           	   50000	     42351 ns/op	   32250 B/op	    1015 allocs/op
BenchmarkRefillFullImpl7Queue/10-4           	   50000	     47696 ns/op	   32250 B/op	    1015 allocs/op
BenchmarkRefillFullImpl7Queue/10-4           	   30000	     53878 ns/op	   32250 B/op	    1015 allocs/op
BenchmarkRefillFullImpl7Queue/10-4           	   30000	     39882 ns/op	   32250 B/op	    1015 allocs/op
BenchmarkRefillFullImpl7Queue/10-4           	   50000	     40770 ns/op	   32250 B/op	    1015 allocs/op
BenchmarkRefillFullImpl7Queue/10-4           	   30000	     45874 ns/op	   32250 B/op	    1015 allocs/op
BenchmarkRefillFullImpl7Queue/100-4          	    3000	    418957 ns/op	  322500 B/op	   10156 allocs/op
BenchmarkRefillFullImpl7Queue/100-4          	    5000	    407024 ns/op	  322500 B/op	   10156 allocs/op
BenchmarkRefillFullImpl7Queue/100-4          	    5000	    392624 ns/op	  322500 B/op	   10156 allocs/op
BenchmarkRefillFullImpl7Queue/100-4          	    3000	    395773 ns/op	  322500 B/op	   10156 allocs/op
BenchmarkRefillFullImpl7Queue/100-4          	    5000	    384859 ns/op	  322500 B/op	   10156 allocs/op
BenchmarkRefillFullImpl7Queue/100-4          	    5000	    387132 ns/op	  322500 B/op	   10156 allocs/op
BenchmarkRefillFullImpl7Queue/100-4          	    3000	    413302 ns/op	  322500 B/op	   10156 allocs/op
BenchmarkRefillFullImpl7Queue/100-4          	    3000	    405073 ns/op	  322500 B/op	   10156 allocs/op
BenchmarkRefillFullImpl7Queue/100-4          	    5000	    384479 ns/op	  322500 B/op	   10156 allocs/op
BenchmarkRefillFullImpl7Queue/100-4          	    5000	    389558 ns/op	  322500 B/op	   10156 allocs/op
BenchmarkRefillFullImpl7Queue/1000-4         	     300	   3798363 ns/op	 3225000 B/op	  101562 allocs/op
BenchmarkRefillFullImpl7Queue/1000-4         	     500	   4309118 ns/op	 3225000 B/op	  101562 allocs/op
BenchmarkRefillFullImpl7Queue/1000-4         	     300	   3926907 ns/op	 3225000 B/op	  101562 allocs/op
BenchmarkRefillFullImpl7Queue/1000-4         	     300	   4180935 ns/op	 3225000 B/op	  101562 allocs/op
BenchmarkRefillFullImpl7Queue/1000-4         	     300	   4167380 ns/op	 3225000 B/op	  101562 allocs/op
BenchmarkRefillFullImpl7Queue/1000-4         	     300	   4187617 ns/op	 3225000 B/op	  101562 allocs/op
BenchmarkRefillFullImpl7Queue/1000-4         	     300	   3857436 ns/op	 3225000 B/op	  101562 allocs/op
BenchmarkRefillFullImpl7Queue/1000-4         	     500	   3765079 ns/op	 3225000 B/op	  101562 allocs/op
BenchmarkRefillFullImpl7Queue/1000-4         	     500	   4055943 ns/op	 3225000 B/op	  101562 allocs/op
BenchmarkRefillFullImpl7Queue/1000-4         	     300	   3862681 ns/op	 3225000 B/op	  101562 allocs/op
BenchmarkRefillFullImpl7Queue/10000-4        	      50	  45350947 ns/op	32250003 B/op	 1015625 allocs/op
BenchmarkRefillFullImpl7Queue/10000-4        	      50	  38649411 ns/op	32250001 B/op	 1015625 allocs/op
BenchmarkRefillFullImpl7Queue/10000-4        	      50	  40166646 ns/op	32250000 B/op	 1015625 allocs/op
BenchmarkRefillFullImpl7Queue/10000-4        	      50	  42831381 ns/op	32250001 B/op	 1015625 allocs/op
BenchmarkRefillFullImpl7Queue/10000-4        	      50	  38704277 ns/op	32250000 B/op	 1015625 allocs/op
BenchmarkRefillFullImpl7Queue/10000-4        	      50	  40305567 ns/op	32250000 B/op	 1015625 allocs/op
BenchmarkRefillFullImpl7Queue/10000-4        	      30	  38767030 ns/op	32250003 B/op	 1015625 allocs/op
BenchmarkRefillFullImpl7Queue/10000-4        	      30	  40098680 ns/op	32250003 B/op	 1015625 allocs/op
BenchmarkRefillFullImpl7Queue/10000-4        	      30	  39757636 ns/op	32250000 B/op	 1015625 allocs/op
BenchmarkRefillFullImpl7Queue/10000-4        	      50	  39718689 ns/op	32250001 B/op	 1015625 allocs/op
BenchmarkRefillFullImpl7Queue/100000-4       	       3	 438766505 ns/op	322500064 B/op	10156250 allocs/op
BenchmarkRefillFullImpl7Queue/100000-4       	       3	 389486021 ns/op	322500000 B/op	10156250 allocs/op
BenchmarkRefillFullImpl7Queue/100000-4       	       3	 387747679 ns/op	322500000 B/op	10156250 allocs/op
BenchmarkRefillFullImpl7Queue/100000-4       	       3	 395194343 ns/op	322500000 B/op	10156250 allocs/op
BenchmarkRefillFullImpl7Queue/100000-4       	       3	 401702913 ns/op	322500000 B/op	10156250 allocs/op
BenchmarkRefillFullImpl7Queue/100000-4       	       3	 474581916 ns/op	322500000 B/op	10156250 allocs/op
BenchmarkRefillFullImpl7Queue/100000-4       	       3	 388970818 ns/op	322500000 B/op	10156250 allocs/op
BenchmarkRefillFullImpl7Queue/100000-4       	       3	 428141415 ns/op	322500032 B/op	10156250 allocs/op
BenchmarkRefillFullImpl7Queue/100000-4       	       3	 403590396 ns/op	322500000 B/op	10156250 allocs/op
BenchmarkRefillFullImpl7Queue/100000-4       	       3	 408364554 ns/op	322500000 B/op	10156250 allocs/op
BenchmarkRefillImpl7Queue/1-4                	  200000	     10078 ns/op	    6400 B/op	     300 allocs/op
BenchmarkRefillImpl7Queue/1-4                	  200000	      9947 ns/op	    6400 B/op	     300 allocs/op
BenchmarkRefillImpl7Queue/1-4                	  200000	     10095 ns/op	    6400 B/op	     300 allocs/op
BenchmarkRefillImpl7Queue/1-4                	  200000	     10571 ns/op	    6400 B/op	     300 allocs/op
BenchmarkRefillImpl7Queue/1-4                	  200000	      9487 ns/op	    6400 B/op	     300 allocs/op
BenchmarkRefillImpl7Queue/1-4                	  200000	      9617 ns/op	    6400 B/op	     300 allocs/op
BenchmarkRefillImpl7Queue/1-4                	  200000	     10103 ns/op	    6400 B/op	     300 allocs/op
BenchmarkRefillImpl7Queue/1-4                	  200000	      9687 ns/op	    6400 B/op	     300 allocs/op
BenchmarkRefillImpl7Queue/1-4                	  200000	     10650 ns/op	    6400 B/op	     300 allocs/op
BenchmarkRefillImpl7Queue/1-4                	  200000	     10112 ns/op	    6400 B/op	     300 allocs/op
BenchmarkRefillImpl7Queue/10-4               	   20000	     76871 ns/op	   68800 B/op	    1600 allocs/op
BenchmarkRefillImpl7Queue/10-4               	   20000	     74199 ns/op	   68800 B/op	    1600 allocs/op
BenchmarkRefillImpl7Queue/10-4               	   20000	     75247 ns/op	   68800 B/op	    1600 allocs/op
BenchmarkRefillImpl7Queue/10-4               	   20000	     72654 ns/op	   68800 B/op	    1600 allocs/op
BenchmarkRefillImpl7Queue/10-4               	   20000	     78395 ns/op	   68800 B/op	    1600 allocs/op
BenchmarkRefillImpl7Queue/10-4               	   20000	     74748 ns/op	   68800 B/op	    1600 allocs/op
BenchmarkRefillImpl7Queue/10-4               	   20000	     71458 ns/op	   68800 B/op	    1600 allocs/op
BenchmarkRefillImpl7Queue/10-4               	   20000	     77688 ns/op	   68800 B/op	    1600 allocs/op
BenchmarkRefillImpl7Queue/10-4               	   20000	     70898 ns/op	   68800 B/op	    1600 allocs/op
BenchmarkRefillImpl7Queue/10-4               	   20000	     74954 ns/op	   68800 B/op	    1600 allocs/op
BenchmarkRefillImpl7Queue/100-4              	    3000	    456195 ns/op	  420800 B/op	   10800 allocs/op
BenchmarkRefillImpl7Queue/100-4              	    3000	    445995 ns/op	  420800 B/op	   10800 allocs/op
BenchmarkRefillImpl7Queue/100-4              	    3000	    426816 ns/op	  420800 B/op	   10800 allocs/op
BenchmarkRefillImpl7Queue/100-4              	    3000	    435416 ns/op	  420800 B/op	   10800 allocs/op
BenchmarkRefillImpl7Queue/100-4              	    3000	    453582 ns/op	  420800 B/op	   10800 allocs/op
BenchmarkRefillImpl7Queue/100-4              	    3000	    428044 ns/op	  420800 B/op	   10800 allocs/op
BenchmarkRefillImpl7Queue/100-4              	    3000	    444143 ns/op	  420800 B/op	   10800 allocs/op
BenchmarkRefillImpl7Queue/100-4              	    3000	    438658 ns/op	  420800 B/op	   10800 allocs/op
BenchmarkRefillImpl7Queue/100-4              	    3000	    427510 ns/op	  420800 B/op	   10800 allocs/op
BenchmarkRefillImpl7Queue/100-4              	    3000	    459588 ns/op	  420800 B/op	   10800 allocs/op
BenchmarkRefillImpl7Queue/1000-4             	     300	   3964660 ns/op	 3316800 B/op	  102200 allocs/op
BenchmarkRefillImpl7Queue/1000-4             	     500	   3703902 ns/op	 3316800 B/op	  102200 allocs/op
BenchmarkRefillImpl7Queue/1000-4             	     500	   4011519 ns/op	 3316800 B/op	  102200 allocs/op
BenchmarkRefillImpl7Queue/1000-4             	     300	   3987424 ns/op	 3316800 B/op	  102200 allocs/op
BenchmarkRefillImpl7Queue/1000-4             	     500	   4003637 ns/op	 3316800 B/op	  102200 allocs/op
BenchmarkRefillImpl7Queue/1000-4             	     300	   3866097 ns/op	 3316800 B/op	  102200 allocs/op
BenchmarkRefillImpl7Queue/1000-4             	     500	   3919609 ns/op	 3316800 B/op	  102200 allocs/op
BenchmarkRefillImpl7Queue/1000-4             	     500	   4030778 ns/op	 3316800 B/op	  102200 allocs/op
BenchmarkRefillImpl7Queue/1000-4             	     300	   4012221 ns/op	 3316800 B/op	  102200 allocs/op
BenchmarkRefillImpl7Queue/1000-4             	     300	   3966734 ns/op	 3316800 B/op	  102200 allocs/op
BenchmarkRefillImpl7Queue/10000-4            	      30	  38043626 ns/op	32276801 B/op	 1016200 allocs/op
BenchmarkRefillImpl7Queue/10000-4            	      50	  41234133 ns/op	32276802 B/op	 1016200 allocs/op
BenchmarkRefillImpl7Queue/10000-4            	      30	  39930111 ns/op	32276801 B/op	 1016200 allocs/op
BenchmarkRefillImpl7Queue/10000-4            	      30	  38729338 ns/op	32276801 B/op	 1016200 allocs/op
BenchmarkRefillImpl7Queue/10000-4            	      30	  38541774 ns/op	32276804 B/op	 1016200 allocs/op
