goos: darwin
goarch: amd64
pkg: github.com/ef-ds/deque
BenchmarkFillListQueue/0-4         	30000000	        41.0 ns/op	      48 B/op	       1 allocs/op
BenchmarkFillListStack/0-4         	50000000	        39.2 ns/op	      48 B/op	       1 allocs/op
BenchmarkFillListStack/0-4         	30000000	        38.9 ns/op	      48 B/op	       1 allocs/op
BenchmarkFillListStack/0-4         	50000000	        39.3 ns/op	      48 B/op	       1 allocs/op
BenchmarkFillListStack/0-4         	30000000	        40.3 ns/op	      48 B/op	       1 allocs/op
BenchmarkFillListStack/0-4         	30000000	        38.8 ns/op	      48 B/op	       1 allocs/op
BenchmarkFillListStack/0-4         	50000000	        38.9 ns/op	      48 B/op	       1 allocs/op
BenchmarkFillListStack/0-4         	50000000	        39.0 ns/op	      48 B/op	       1 allocs/op
BenchmarkFillListStack/0-4         	30000000	        39.0 ns/op	      48 B/op	       1 allocs/op
BenchmarkFillListStack/0-4         	50000000	        38.9 ns/op	      48 B/op	       1 allocs/op
BenchmarkFillListStack/1-4         	20000000	       108 ns/op	     112 B/op	       3 allocs/op
BenchmarkFillListStack/1-4         	20000000	       107 ns/op	     112 B/op	       3 allocs/op
BenchmarkFillListStack/1-4         	20000000	       107 ns/op	     112 B/op	       3 allocs/op
BenchmarkFillListStack/1-4         	20000000	       107 ns/op	     112 B/op	       3 allocs/op
BenchmarkFillListStack/1-4         	20000000	       109 ns/op	     112 B/op	       3 allocs/op
BenchmarkFillListStack/1-4         	20000000	       106 ns/op	     112 B/op	       3 allocs/op
BenchmarkFillListStack/1-4         	20000000	       107 ns/op	     112 B/op	       3 allocs/op
BenchmarkFillListStack/1-4         	20000000	       107 ns/op	     112 B/op	       3 allocs/op
BenchmarkFillListStack/1-4         	20000000	       109 ns/op	     112 B/op	       3 allocs/op
BenchmarkFillListStack/1-4         	20000000	       107 ns/op	     112 B/op	       3 allocs/op
BenchmarkFillListStack/10-4        	 2000000	       724 ns/op	     688 B/op	      21 allocs/op
BenchmarkFillListStack/10-4        	 2000000	       731 ns/op	     688 B/op	      21 allocs/op
BenchmarkFillListStack/10-4        	 2000000	       726 ns/op	     688 B/op	      21 allocs/op
BenchmarkFillListStack/10-4        	 2000000	       728 ns/op	     688 B/op	      21 allocs/op
BenchmarkFillListStack/10-4        	 2000000	       718 ns/op	     688 B/op	      21 allocs/op
BenchmarkFillListStack/10-4        	 2000000	       728 ns/op	     688 B/op	      21 allocs/op
BenchmarkFillListStack/10-4        	 2000000	       719 ns/op	     688 B/op	      21 allocs/op
BenchmarkFillListStack/10-4        	 2000000	       726 ns/op	     688 B/op	      21 allocs/op
BenchmarkFillListStack/10-4        	 2000000	       730 ns/op	     688 B/op	      21 allocs/op
BenchmarkFillListStack/10-4        	 2000000	       723 ns/op	     688 B/op	      21 allocs/op
BenchmarkFillListStack/100-4       	  200000	      6758 ns/op	    6448 B/op	     201 allocs/op
BenchmarkFillListStack/100-4       	  200000	      6736 ns/op	    6448 B/op	     201 allocs/op
BenchmarkFillListStack/100-4       	  200000	      6742 ns/op	    6448 B/op	     201 allocs/op
BenchmarkFillListStack/100-4       	  200000	      6758 ns/op	    6448 B/op	     201 allocs/op
BenchmarkFillListStack/100-4       	  200000	      6787 ns/op	    6448 B/op	     201 allocs/op
BenchmarkFillListStack/100-4       	  200000	      6734 ns/op	    6448 B/op	     201 allocs/op
BenchmarkFillListStack/100-4       	  200000	      6738 ns/op	    6448 B/op	     201 allocs/op
BenchmarkFillListStack/100-4       	  200000	      6766 ns/op	    6448 B/op	     201 allocs/op
BenchmarkFillListStack/100-4       	  200000	      6732 ns/op	    6448 B/op	     201 allocs/op
BenchmarkFillListStack/100-4       	  200000	      6739 ns/op	    6448 B/op	     201 allocs/op
BenchmarkFillListStack/1000-4      	   20000	     68497 ns/op	   64048 B/op	    2001 allocs/op
BenchmarkFillListStack/1000-4      	   20000	     68563 ns/op	   64048 B/op	    2001 allocs/op
BenchmarkFillListStack/1000-4      	   20000	     68181 ns/op	   64048 B/op	    2001 allocs/op
BenchmarkFillListStack/1000-4      	   20000	     68288 ns/op	   64048 B/op	    2001 allocs/op
BenchmarkFillListStack/1000-4      	   20000	     68327 ns/op	   64048 B/op	    2001 allocs/op
BenchmarkFillListStack/1000-4      	   20000	     68217 ns/op	   64048 B/op	    2001 allocs/op
BenchmarkFillListStack/1000-4      	   20000	     68409 ns/op	   64048 B/op	    2001 allocs/op
BenchmarkFillListStack/1000-4      	   20000	     68076 ns/op	   64048 B/op	    2001 allocs/op
BenchmarkFillListStack/1000-4      	   20000	     68406 ns/op	   64048 B/op	    2001 allocs/op
BenchmarkFillListStack/1000-4      	   20000	     68632 ns/op	   64048 B/op	    2001 allocs/op
BenchmarkFillListStack/10000-4     	    2000	    698546 ns/op	  640048 B/op	   20001 allocs/op
BenchmarkFillListStack/10000-4     	    2000	    700050 ns/op	  640048 B/op	   20001 allocs/op
BenchmarkFillListStack/10000-4     	    2000	    699489 ns/op	  640048 B/op	   20001 allocs/op
BenchmarkFillListStack/10000-4     	    2000	    699560 ns/op	  640048 B/op	   20001 allocs/op
BenchmarkFillListStack/10000-4     	    2000	    700979 ns/op	  640048 B/op	   20001 allocs/op
BenchmarkFillListStack/10000-4     	    2000	    700080 ns/op	  640048 B/op	   20001 allocs/op
BenchmarkFillListStack/10000-4     	    2000	    699724 ns/op	  640048 B/op	   20001 allocs/op
BenchmarkFillListStack/10000-4     	    2000	    703785 ns/op	  640048 B/op	   20001 allocs/op
BenchmarkFillListStack/10000-4     	    2000	    700676 ns/op	  640048 B/op	   20001 allocs/op
BenchmarkFillListStack/10000-4     	    2000	    698324 ns/op	  640048 B/op	   20001 allocs/op
BenchmarkFillListStack/100000-4    	     100	  21202070 ns/op	 6400048 B/op	  200001 allocs/op
BenchmarkFillListStack/100000-4    	     100	  20101442 ns/op	 6400048 B/op	  200001 allocs/op
BenchmarkFillListStack/100000-4    	     100	  22587677 ns/op	 6400048 B/op	  200001 allocs/op
BenchmarkFillListStack/100000-4    	     100	  21133638 ns/op	 6400048 B/op	  200001 allocs/op
BenchmarkFillListStack/100000-4    	     100	  21884574 ns/op	 6400048 B/op	  200001 allocs/op
BenchmarkFillListStack/100000-4    	     100	  21610584 ns/op	 6400048 B/op	  200001 allocs/op
BenchmarkFillListStack/100000-4    	     100	  21770540 ns/op	 6400048 B/op	  200001 allocs/op
BenchmarkFillListStack/100000-4    	     100	  19070359 ns/op	 6400048 B/op	  200001 allocs/op
BenchmarkFillListStack/100000-4    	     100	  20065169 ns/op	 6400048 B/op	  200001 allocs/op
BenchmarkFillListStack/100000-4    	     100	  23063228 ns/op	 6400048 B/op	  200001 allocs/op
BenchmarkFillListStack/1000000-4   	      10	 163836352 ns/op	64000048 B/op	 2000001 allocs/op
BenchmarkFillListStack/1000000-4   	      10	 165300056 ns/op	64000048 B/op	 2000001 allocs/op
BenchmarkFillListStack/1000000-4   	      10	 169604962 ns/op	64000057 B/op	 2000001 allocs/op
BenchmarkFillListStack/1000000-4   	      10	 153759576 ns/op	64000048 B/op	 2000001 allocs/op
BenchmarkFillListStack/1000000-4   	      10	 151383502 ns/op	64000057 B/op	 2000001 allocs/op
BenchmarkFillListStack/1000000-4   	      10	 148977723 ns/op	64000048 B/op	 2000001 allocs/op
BenchmarkFillListStack/1000000-4   	      10	 142403784 ns/op	64000048 B/op	 2000001 allocs/op
BenchmarkFillListStack/1000000-4   	      10	 158120954 ns/op	64000048 B/op	 2000001 allocs/op
BenchmarkFillListStack/1000000-4   	      10	 158988165 ns/op	64000048 B/op	 2000001 allocs/op
BenchmarkFillListStack/1000000-4   	      10	 163540943 ns/op	64000048 B/op	 2000001 allocs/op
BenchmarkMicroserviceListQueue/1-4 	 3000000	       515 ns/op	     496 B/op	      15 allocs/op
BenchmarkMicroserviceListQueue/1-4 	 3000000	       518 ns/op	     496 B/op	      15 allocs/op
BenchmarkMicroserviceListQueue/1-4 	 3000000	       508 ns/op	     496 B/op	      15 allocs/op
BenchmarkMicroserviceListQueue/1-4 	 3000000	       542 ns/op	     496 B/op	      15 allocs/op
BenchmarkMicroserviceListQueue/1-4 	 3000000	       521 ns/op	     496 B/op	      15 allocs/op
BenchmarkMicroserviceListQueue/1-4 	 3000000	       509 ns/op	     496 B/op	      15 allocs/op
BenchmarkMicroserviceListQueue/1-4 	 3000000	       705 ns/op	     496 B/op	      15 allocs/op
BenchmarkMicroserviceListQueue/1-4 	 3000000	       495 ns/op	     496 B/op	      15 allocs/op
BenchmarkMicroserviceListQueue/1-4 	 3000000	       497 ns/op	     496 B/op	      15 allocs/op
BenchmarkMicroserviceListQueue/1-4 	 3000000	       494 ns/op	     496 B/op	      15 allocs/op
BenchmarkMicroserviceListQueue/10-4         	  300000	      4857 ns/op	    4528 B/op	     141 allocs/op
BenchmarkMicroserviceListQueue/10-4         	  300000	      4798 ns/op	    4528 B/op	     141 allocs/op
BenchmarkMicroserviceListQueue/10-4         	  300000	      4721 ns/op	    4528 B/op	     141 allocs/op
BenchmarkMicroserviceListQueue/10-4         	  300000	      4726 ns/op	    4528 B/op	     141 allocs/op
BenchmarkMicroserviceListQueue/10-4         	  300000	      4854 ns/op	    4528 B/op	     141 allocs/op
BenchmarkMicroserviceListQueue/10-4         	  300000	      4833 ns/op	    4528 B/op	     141 allocs/op
BenchmarkMicroserviceListQueue/10-4         	  300000	      4869 ns/op	    4528 B/op	     141 allocs/op
BenchmarkMicroserviceListQueue/10-4         	  300000	      4752 ns/op	    4528 B/op	     141 allocs/op
BenchmarkMicroserviceListQueue/10-4         	  300000	      4800 ns/op	    4528 B/op	     141 allocs/op
BenchmarkMicroserviceListQueue/10-4         	  300000	      4882 ns/op	    4528 B/op	     141 allocs/op
BenchmarkMicroserviceListQueue/100-4        	   30000	     47185 ns/op	   44848 B/op	    1401 allocs/op
BenchmarkMicroserviceListQueue/100-4        	   30000	     46988 ns/op	   44848 B/op	    1401 allocs/op
BenchmarkMicroserviceListQueue/100-4        	   30000	     46874 ns/op	   44848 B/op	    1401 allocs/op
BenchmarkMicroserviceListQueue/100-4        	   30000	     46970 ns/op	   44848 B/op	    1401 allocs/op
BenchmarkMicroserviceListQueue/100-4        	   30000	     46372 ns/op	   44848 B/op	    1401 allocs/op
BenchmarkMicroserviceListQueue/100-4        	   30000	     46439 ns/op	   44848 B/op	    1401 allocs/op
BenchmarkMicroserviceListQueue/100-4        	   30000	     49567 ns/op	   44848 B/op	    1401 allocs/op
BenchmarkMicroserviceListQueue/100-4        	   30000	     46458 ns/op	   44848 B/op	    1401 allocs/op
BenchmarkMicroserviceListQueue/100-4        	   30000	     46900 ns/op	   44848 B/op	    1401 allocs/op
BenchmarkMicroserviceListQueue/100-4        	   30000	     51098 ns/op	   44848 B/op	    1401 allocs/op
BenchmarkMicroserviceListQueue/1000-4       	    3000	    504861 ns/op	  448048 B/op	   14001 allocs/op
BenchmarkMicroserviceListQueue/1000-4       	    3000	    523379 ns/op	  448048 B/op	   14001 allocs/op
BenchmarkMicroserviceListQueue/1000-4       	    3000	    708953 ns/op	  448048 B/op	   14001 allocs/op
BenchmarkMicroserviceListQueue/1000-4       	    3000	    492641 ns/op	  448048 B/op	   14001 allocs/op
BenchmarkMicroserviceListQueue/1000-4       	    3000	    506153 ns/op	  448048 B/op	   14001 allocs/op
BenchmarkMicroserviceListQueue/1000-4       	    3000	    476149 ns/op	  448048 B/op	   14001 allocs/op
BenchmarkMicroserviceListQueue/1000-4       	    3000	    504631 ns/op	  448048 B/op	   14001 allocs/op
BenchmarkMicroserviceListQueue/1000-4       	    3000	    685299 ns/op	  448048 B/op	   14001 allocs/op
BenchmarkMicroserviceListQueue/1000-4       	    3000	    493363 ns/op	  448048 B/op	   14001 allocs/op
BenchmarkMicroserviceListQueue/1000-4       	    3000	    499199 ns/op	  448048 B/op	   14001 allocs/op
BenchmarkMicroserviceListQueue/10000-4      	     300	   5171270 ns/op	 4480048 B/op	  140001 allocs/op
BenchmarkMicroserviceListQueue/10000-4      	     300	   5511077 ns/op	 4480048 B/op	  140001 allocs/op
BenchmarkMicroserviceListQueue/10000-4      	     200	   5858117 ns/op	 4480048 B/op	  140001 allocs/op
BenchmarkMicroserviceListQueue/10000-4      	     300	   5431936 ns/op	 4480048 B/op	  140001 allocs/op
BenchmarkMicroserviceListQueue/10000-4      	     300	   5367355 ns/op	 4480048 B/op	  140001 allocs/op
BenchmarkMicroserviceListQueue/10000-4      	     300	   5342032 ns/op	 4480048 B/op	  140001 allocs/op
BenchmarkMicroserviceListQueue/10000-4      	     300	   5533876 ns/op	 4480048 B/op	  140001 allocs/op
BenchmarkMicroserviceListQueue/10000-4      	     300	   5537503 ns/op	 4480048 B/op	  140001 allocs/op
BenchmarkMicroserviceListQueue/10000-4      	     300	   5373893 ns/op	 4480048 B/op	  140001 allocs/op
BenchmarkMicroserviceListQueue/10000-4      	     300	   5276631 ns/op	 4480048 B/op	  140001 allocs/op
BenchmarkMicroserviceListQueue/100000-4     	      20	  75361363 ns/op	44800048 B/op	 1400001 allocs/op
BenchmarkMicroserviceListQueue/100000-4     	      20	  77425063 ns/op	44800048 B/op	 1400001 allocs/op
BenchmarkMicroserviceListQueue/100000-4     	      20	  79712608 ns/op	44800048 B/op	 1400001 allocs/op
BenchmarkMicroserviceListQueue/100000-4     	      20	  81069787 ns/op	44800048 B/op	 1400001 allocs/op
BenchmarkMicroserviceListQueue/100000-4     	      20	  76705196 ns/op	44800048 B/op	 1400001 allocs/op
BenchmarkMicroserviceListQueue/100000-4     	      20	  71881916 ns/op	44800048 B/op	 1400001 allocs/op
BenchmarkMicroserviceListQueue/100000-4     	      20	  69117973 ns/op	44800048 B/op	 1400001 allocs/op
BenchmarkMicroserviceListQueue/100000-4     	      20	  69126816 ns/op	44800048 B/op	 1400001 allocs/op
BenchmarkMicroserviceListQueue/100000-4     	      20	  74977235 ns/op	44800048 B/op	 1400001 allocs/op
BenchmarkMicroserviceListQueue/100000-4     	      20	  75024002 ns/op	44800052 B/op	 1400001 allocs/op
BenchmarkMicroserviceListQueue/1000000-4    	       2	 815458422 ns/op	448000048 B/op	14000001 allocs/op
BenchmarkMicroserviceListQueue/1000000-4    	       2	 776252171 ns/op	448000096 B/op	14000001 allocs/op
BenchmarkMicroserviceListQueue/1000000-4    	       2	 888719621 ns/op	448000144 B/op	14000002 allocs/op
BenchmarkMicroserviceListQueue/1000000-4    	       2	 924555921 ns/op	448000144 B/op	14000002 allocs/op
BenchmarkMicroserviceListQueue/1000000-4    	       2	 872911757 ns/op	448000096 B/op	14000001 allocs/op
BenchmarkMicroserviceListQueue/1000000-4    	       2	 737852184 ns/op	448000048 B/op	14000001 allocs/op
BenchmarkMicroserviceListQueue/1000000-4    	       2	 771746079 ns/op	448000048 B/op	14000001 allocs/op
BenchmarkMicroserviceListQueue/1000000-4    	       2	 740367825 ns/op	448000048 B/op	14000001 allocs/op
BenchmarkMicroserviceListQueue/1000000-4    	       2	 748672347 ns/op	448000192 B/op	14000002 allocs/op
BenchmarkMicroserviceListQueue/1000000-4    	       2	 870941378 ns/op	448000096 B/op	14000001 allocs/op
BenchmarkMicroserviceListStack/1-4          	 3000000	       499 ns/op	     496 B/op	      15 allocs/op
BenchmarkMicroserviceListStack/1-4          	 3000000	       507 ns/op	     496 B/op	      15 allocs/op
BenchmarkMicroserviceListStack/1-4          	 3000000	       530 ns/op	     496 B/op	      15 allocs/op
BenchmarkMicroserviceListStack/1-4          	 3000000	       529 ns/op	     496 B/op	      15 allocs/op
BenchmarkMicroserviceListStack/1-4          	 1000000	      1144 ns/op	     496 B/op	      15 allocs/op
BenchmarkMicroserviceListStack/1-4          	 3000000	       505 ns/op	     496 B/op	      15 allocs/op
BenchmarkMicroserviceListStack/1-4          	 3000000	       497 ns/op	     496 B/op	      15 allocs/op
BenchmarkMicroserviceListStack/1-4          	 3000000	       503 ns/op	     496 B/op	      15 allocs/op
BenchmarkMicroserviceListStack/1-4          	 3000000	       494 ns/op	     496 B/op	      15 allocs/op
BenchmarkMicroserviceListStack/1-4          	 3000000	       530 ns/op	     496 B/op	      15 allocs/op
BenchmarkMicroserviceListStack/10-4         	  300000	      5164 ns/op	    4528 B/op	     141 allocs/op
BenchmarkMicroserviceListStack/10-4         	  300000	      4824 ns/op	    4528 B/op	     141 allocs/op
BenchmarkMicroserviceListStack/10-4         	  300000	      5895 ns/op	    4528 B/op	     141 allocs/op
BenchmarkMicroserviceListStack/10-4         	  300000	      4957 ns/op	    4528 B/op	     141 allocs/op
BenchmarkMicroserviceListStack/10-4         	  300000	      4932 ns/op	    4528 B/op	     141 allocs/op
BenchmarkMicroserviceListStack/10-4         	  300000	      4818 ns/op	    4528 B/op	     141 allocs/op
BenchmarkMicroserviceListStack/10-4         	  300000	      4724 ns/op	    4528 B/op	     141 allocs/op
BenchmarkMicroserviceListStack/10-4         	  300000	      4914 ns/op	    4528 B/op	     141 allocs/op
BenchmarkMicroserviceListStack/10-4         	  300000	      4755 ns/op	    4528 B/op	     141 allocs/op
BenchmarkMicroserviceListStack/10-4         	  300000	      4754 ns/op	    4528 B/op	     141 allocs/op
BenchmarkMicroserviceListStack/100-4        	   30000	     49633 ns/op	   44848 B/op	    1401 allocs/op
BenchmarkMicroserviceListStack/100-4        	   30000	     58651 ns/op	   44848 B/op	    1401 allocs/op
BenchmarkMicroserviceListStack/100-4        	   30000	     47612 ns/op	   44848 B/op	    1401 allocs/op
BenchmarkMicroserviceListStack/100-4        	   30000	     46840 ns/op	   44848 B/op	    1401 allocs/op
BenchmarkMicroserviceListStack/100-4        	   30000	     47649 ns/op	   44848 B/op	    1401 allocs/op
BenchmarkMicroserviceListStack/100-4        	   30000	     47058 ns/op	   44848 B/op	    1401 allocs/op
BenchmarkMicroserviceListStack/100-4        	   30000	     46862 ns/op	   44848 B/op	    1401 allocs/op
BenchmarkMicroserviceListStack/100-4        	   30000	     46296 ns/op	   44848 B/op	    1401 allocs/op
BenchmarkMicroserviceListStack/100-4        	   30000	     47168 ns/op	   44848 B/op	    1401 allocs/op
BenchmarkMicroserviceListStack/100-4        	   30000	     47033 ns/op	   44848 B/op	    1401 allocs/op
BenchmarkMicroserviceListStack/1000-4       	    3000	    464454 ns/op	  448048 B/op	   14001 allocs/op
BenchmarkMicroserviceListStack/1000-4       	    3000	    460970 ns/op	  448048 B/op	   14001 allocs/op
BenchmarkMicroserviceListStack/1000-4       	    3000	    460730 ns/op	  448048 B/op	   14001 allocs/op
BenchmarkMicroserviceListStack/1000-4       	    3000	    469760 ns/op	  448048 B/op	   14001 allocs/op
BenchmarkMicroserviceListStack/1000-4       	    3000	    500847 ns/op	  448048 B/op	   14001 allocs/op
BenchmarkMicroserviceListStack/1000-4       	    3000	    558407 ns/op	  448048 B/op	   14001 allocs/op
BenchmarkMicroserviceListStack/1000-4       	    3000	    496118 ns/op	  448048 B/op	   14001 allocs/op
BenchmarkMicroserviceListStack/1000-4       	    3000	    516604 ns/op	  448048 B/op	   14001 allocs/op
BenchmarkMicroserviceListStack/1000-4       	    3000	    481796 ns/op	  448048 B/op	   14001 allocs/op
BenchmarkMicroserviceListStack/1000-4       	    3000	    474769 ns/op	  448048 B/op	   14001 allocs/op
BenchmarkMicroserviceListStack/10000-4      	     300	   5096769 ns/op	 4480048 B/op	  140001 allocs/op
BenchmarkMicroserviceListStack/10000-4      	     300	   5541747 ns/op	 4480048 B/op	  140001 allocs/op
BenchmarkMicroserviceListStack/10000-4      	     200	   5398587 ns/op	 4480048 B/op	  140001 allocs/op
BenchmarkMicroserviceListStack/10000-4      	     300	   5287331 ns/op	 4480048 B/op	  140001 allocs/op
BenchmarkMicroserviceListStack/10000-4      	     300	   5118979 ns/op	 4480048 B/op	  140001 allocs/op
