goos: darwin
goarch: amd64
pkg: github.com/ef-ds/deque
BenchmarkFillDequeStack/100-4       	  300000	      5071 ns/op	    6176 B/op	     107 allocs/op
BenchmarkFillDequeStack/100-4       	  300000	      4910 ns/op	    6176 B/op	     107 allocs/op
BenchmarkFillDequeStack/100-4       	  300000	      4964 ns/op	    6176 B/op	     107 allocs/op
BenchmarkFillDequeStack/100-4       	  300000	      4875 ns/op	    6176 B/op	     107 allocs/op
BenchmarkFillDequeStack/100-4       	  300000	      5003 ns/op	    6176 B/op	     107 allocs/op
BenchmarkFillDequeStack/100-4       	  300000	      4595 ns/op	    6176 B/op	     107 allocs/op
BenchmarkFillDequeStack/100-4       	  300000	      5270 ns/op	    6176 B/op	     107 allocs/op
BenchmarkFillDequeStack/100-4       	  300000	      4888 ns/op	    6176 B/op	     107 allocs/op
BenchmarkFillDequeStack/1000-4      	   30000	     38799 ns/op	   33008 B/op	    1013 allocs/op
BenchmarkFillDequeStack/1000-4      	   50000	     42514 ns/op	   33008 B/op	    1013 allocs/op
BenchmarkFillDequeStack/1000-4      	   50000	     39296 ns/op	   33008 B/op	    1013 allocs/op
BenchmarkFillDequeStack/1000-4      	   50000	     41202 ns/op	   33008 B/op	    1013 allocs/op
BenchmarkFillDequeStack/1000-4      	   50000	     38479 ns/op	   33008 B/op	    1013 allocs/op
BenchmarkFillDequeStack/1000-4      	   30000	     41260 ns/op	   33008 B/op	    1013 allocs/op
BenchmarkFillDequeStack/1000-4      	   50000	     40849 ns/op	   33008 B/op	    1013 allocs/op
BenchmarkFillDequeStack/1000-4      	   50000	     37057 ns/op	   33008 B/op	    1013 allocs/op
BenchmarkFillDequeStack/1000-4      	   50000	     37203 ns/op	   33008 B/op	    1013 allocs/op
BenchmarkFillDequeStack/1000-4      	   50000	     38079 ns/op	   33008 B/op	    1013 allocs/op
BenchmarkFillDequeStack/10000-4     	    5000	    364310 ns/op	  322048 B/op	   10083 allocs/op
BenchmarkFillDequeStack/10000-4     	    5000	    406307 ns/op	  322048 B/op	   10083 allocs/op
BenchmarkFillDequeStack/10000-4     	    5000	    385359 ns/op	  322048 B/op	   10083 allocs/op
BenchmarkFillDequeStack/10000-4     	    3000	    378033 ns/op	  322048 B/op	   10083 allocs/op
BenchmarkFillDequeStack/10000-4     	    5000	    370509 ns/op	  322048 B/op	   10083 allocs/op
BenchmarkFillDequeStack/10000-4     	    5000	    420979 ns/op	  322048 B/op	   10083 allocs/op
BenchmarkFillDequeStack/10000-4     	    5000	    401260 ns/op	  322048 B/op	   10083 allocs/op
BenchmarkFillDequeStack/10000-4     	    5000	    392226 ns/op	  322048 B/op	   10083 allocs/op
BenchmarkFillDequeStack/10000-4     	    5000	    375480 ns/op	  322048 B/op	   10083 allocs/op
BenchmarkFillDequeStack/10000-4     	    5000	    378535 ns/op	  322048 B/op	   10083 allocs/op
BenchmarkFillDequeStack/100000-4    	     300	   4005704 ns/op	 3220736 B/op	  100787 allocs/op
BenchmarkFillDequeStack/100000-4    	     300	   3943783 ns/op	 3220736 B/op	  100787 allocs/op
BenchmarkFillDequeStack/100000-4    	     500	   4409852 ns/op	 3220736 B/op	  100787 allocs/op
BenchmarkFillDequeStack/100000-4    	     500	   3917176 ns/op	 3220736 B/op	  100787 allocs/op
BenchmarkFillDequeStack/100000-4    	     300	   4213086 ns/op	 3220736 B/op	  100787 allocs/op
BenchmarkFillDequeStack/100000-4    	     300	   3971382 ns/op	 3220736 B/op	  100787 allocs/op
BenchmarkFillDequeStack/100000-4    	     500	   4158100 ns/op	 3220736 B/op	  100787 allocs/op
BenchmarkFillDequeStack/100000-4    	     300	   4501595 ns/op	 3220736 B/op	  100787 allocs/op
BenchmarkFillDequeStack/100000-4    	     300	   4041572 ns/op	 3220736 B/op	  100787 allocs/op
BenchmarkFillDequeStack/100000-4    	     500	   4109149 ns/op	 3220736 B/op	  100787 allocs/op
BenchmarkFillDequeStack/1000000-4   	      30	  47513708 ns/op	32191040 B/op	 1007819 allocs/op
BenchmarkFillDequeStack/1000000-4   	      30	  44766119 ns/op	32191043 B/op	 1007819 allocs/op
BenchmarkFillDequeStack/1000000-4   	      30	  46583036 ns/op	32191040 B/op	 1007819 allocs/op
BenchmarkFillDequeStack/1000000-4   	      30	  45741004 ns/op	32191040 B/op	 1007819 allocs/op
BenchmarkFillDequeStack/1000000-4   	      30	  55493426 ns/op	32191040 B/op	 1007819 allocs/op
BenchmarkFillDequeStack/1000000-4   	      30	  47436060 ns/op	32191040 B/op	 1007819 allocs/op
BenchmarkFillDequeStack/1000000-4   	      30	  47023204 ns/op	32191040 B/op	 1007819 allocs/op
BenchmarkFillDequeStack/1000000-4   	      30	  46851391 ns/op	32191040 B/op	 1007819 allocs/op
BenchmarkFillDequeStack/1000000-4   	      30	  53949374 ns/op	32191040 B/op	 1007819 allocs/op
BenchmarkFillDequeStack/1000000-4   	      30	  48282107 ns/op	32191040 B/op	 1007819 allocs/op
BenchmarkMicroserviceDequeQueue/1-4 	 3000000	       519 ns/op	     544 B/op	      12 allocs/op
BenchmarkMicroserviceDequeQueue/1-4 	 3000000	       531 ns/op	     544 B/op	      12 allocs/op
BenchmarkMicroserviceDequeQueue/1-4 	 3000000	       533 ns/op	     544 B/op	      12 allocs/op
BenchmarkMicroserviceDequeQueue/1-4 	 3000000	       513 ns/op	     544 B/op	      12 allocs/op
BenchmarkMicroserviceDequeQueue/1-4 	 3000000	       497 ns/op	     544 B/op	      12 allocs/op
BenchmarkMicroserviceDequeQueue/1-4 	 3000000	       520 ns/op	     544 B/op	      12 allocs/op
BenchmarkMicroserviceDequeQueue/1-4 	 3000000	       497 ns/op	     544 B/op	      12 allocs/op
BenchmarkMicroserviceDequeQueue/1-4 	 3000000	       495 ns/op	     544 B/op	      12 allocs/op
BenchmarkMicroserviceDequeQueue/1-4 	 3000000	       495 ns/op	     544 B/op	      12 allocs/op
BenchmarkMicroserviceDequeQueue/1-4 	 3000000	       497 ns/op	     544 B/op	      12 allocs/op
BenchmarkMicroserviceDequeQueue/10-4         	  500000	      3471 ns/op	    5696 B/op	      77 allocs/op
BenchmarkMicroserviceDequeQueue/10-4         	  500000	      3491 ns/op	    5696 B/op	      77 allocs/op
BenchmarkMicroserviceDequeQueue/10-4         	  500000	      3787 ns/op	    5696 B/op	      77 allocs/op
BenchmarkMicroserviceDequeQueue/10-4         	  500000	      3616 ns/op	    5696 B/op	      77 allocs/op
BenchmarkMicroserviceDequeQueue/10-4         	  500000	      3566 ns/op	    5696 B/op	      77 allocs/op
BenchmarkMicroserviceDequeQueue/10-4         	  500000	      3508 ns/op	    5696 B/op	      77 allocs/op
