goos: darwin
goarch: amd64
pkg: github.com/ef-ds/deque
BenchmarkFillSliceStack/10-4        	 2000000	       642 ns/op	     440 B/op	      16 allocs/op
BenchmarkFillSliceStack/10-4        	 2000000	       617 ns/op	     440 B/op	      16 allocs/op
BenchmarkFillSliceStack/10-4        	 2000000	       799 ns/op	     440 B/op	      16 allocs/op
BenchmarkFillSliceStack/10-4        	 2000000	       657 ns/op	     440 B/op	      16 allocs/op
BenchmarkFillSliceStack/10-4        	 1000000	      1067 ns/op	     440 B/op	      16 allocs/op
BenchmarkFillSliceStack/100-4       	  200000	      6571 ns/op	    3672 B/op	     109 allocs/op
BenchmarkFillSliceStack/100-4       	  300000	      4248 ns/op	    3672 B/op	     109 allocs/op
BenchmarkFillSliceStack/100-4       	  300000	      5790 ns/op	    3672 B/op	     109 allocs/op
BenchmarkFillSliceStack/100-4       	  300000	      4456 ns/op	    3672 B/op	     109 allocs/op
BenchmarkFillSliceStack/100-4       	  300000	      4602 ns/op	    3672 B/op	     109 allocs/op
BenchmarkFillSliceStack/100-4       	  300000	      5283 ns/op	    3672 B/op	     109 allocs/op
BenchmarkFillSliceStack/100-4       	  300000	      4342 ns/op	    3672 B/op	     109 allocs/op
BenchmarkFillSliceStack/100-4       	  300000	      4178 ns/op	    3672 B/op	     109 allocs/op
BenchmarkFillSliceStack/100-4       	  300000	      4433 ns/op	    3672 B/op	     109 allocs/op
BenchmarkFillSliceStack/100-4       	  300000	      4027 ns/op	    3672 B/op	     109 allocs/op
BenchmarkFillSliceStack/1000-4      	   50000	     33752 ns/op	   32408 B/op	    1012 allocs/op
BenchmarkFillSliceStack/1000-4      	   50000	     33802 ns/op	   32408 B/op	    1012 allocs/op
BenchmarkFillSliceStack/1000-4      	   50000	     33323 ns/op	   32408 B/op	    1012 allocs/op
BenchmarkFillSliceStack/1000-4      	   50000	     35046 ns/op	   32408 B/op	    1012 allocs/op
BenchmarkFillSliceStack/1000-4      	   50000	     37098 ns/op	   32408 B/op	    1012 allocs/op
BenchmarkFillSliceStack/1000-4      	   50000	     37348 ns/op	   32408 B/op	    1012 allocs/op
BenchmarkFillSliceStack/1000-4      	   30000	     37267 ns/op	   32408 B/op	    1012 allocs/op
BenchmarkFillSliceStack/1000-4      	   50000	     38019 ns/op	   32408 B/op	    1012 allocs/op
BenchmarkFillSliceStack/1000-4      	   30000	     36490 ns/op	   32408 B/op	    1012 allocs/op
BenchmarkFillSliceStack/1000-4      	   50000	     37844 ns/op	   32408 B/op	    1012 allocs/op
BenchmarkFillSliceStack/10000-4     	    3000	    452303 ns/op	  546328 B/op	   10021 allocs/op
BenchmarkFillSliceStack/10000-4     	    3000	    511508 ns/op	  546328 B/op	   10021 allocs/op
BenchmarkFillSliceStack/10000-4     	    3000	    430699 ns/op	  546328 B/op	   10021 allocs/op
BenchmarkFillSliceStack/10000-4     	    3000	    429713 ns/op	  546328 B/op	   10021 allocs/op
BenchmarkFillSliceStack/10000-4     	    5000	    412027 ns/op	  546328 B/op	   10021 allocs/op
BenchmarkFillSliceStack/10000-4     	    3000	    431520 ns/op	  546328 B/op	   10021 allocs/op
BenchmarkFillSliceStack/10000-4     	    3000	    430232 ns/op	  546328 B/op	   10021 allocs/op
BenchmarkFillSliceStack/10000-4     	    3000	    420621 ns/op	  546328 B/op	   10021 allocs/op
BenchmarkFillSliceStack/10000-4     	    5000	    419652 ns/op	  546328 B/op	   10021 allocs/op
BenchmarkFillSliceStack/10000-4     	    5000	    407134 ns/op	  546328 B/op	   10021 allocs/op
BenchmarkFillSliceStack/100000-4    	     200	   9795139 ns/op	 6254360 B/op	  100031 allocs/op
