goos: darwin
goarch: amd64
pkg: github.com/ef-ds/deque
BenchmarkFillJujuStack/100-4       	  300000	      4560 ns/op	    4992 B/op	     110 allocs/op
BenchmarkFillJujuStack/1000-4      	   30000	     41097 ns/op	   34848 B/op	    1052 allocs/op
BenchmarkFillJujuStack/1000-4      	   30000	     40662 ns/op	   34848 B/op	    1052 allocs/op
BenchmarkFillJujuStack/1000-4      	   30000	     40619 ns/op	   34848 B/op	    1052 allocs/op
BenchmarkFillJujuStack/1000-4      	   30000	     40638 ns/op	   34848 B/op	    1052 allocs/op
BenchmarkFillJujuStack/1000-4      	   30000	     41011 ns/op	   34848 B/op	    1052 allocs/op
BenchmarkFillJujuStack/1000-4      	   30000	     40674 ns/op	   34848 B/op	    1052 allocs/op
BenchmarkFillJujuStack/1000-4      	   30000	     40745 ns/op	   34848 B/op	    1052 allocs/op
BenchmarkFillJujuStack/1000-4      	   30000	     41003 ns/op	   34848 B/op	    1052 allocs/op
BenchmarkFillJujuStack/1000-4      	   30000	     40706 ns/op	   34848 B/op	    1052 allocs/op
BenchmarkFillJujuStack/1000-4      	   30000	     40828 ns/op	   34848 B/op	    1052 allocs/op
BenchmarkFillJujuStack/10000-4     	    5000	    401765 ns/op	  333408 B/op	   10472 allocs/op
BenchmarkFillJujuStack/10000-4     	    3000	    401680 ns/op	  333408 B/op	   10472 allocs/op
BenchmarkFillJujuStack/10000-4     	    3000	    400013 ns/op	  333408 B/op	   10472 allocs/op
BenchmarkFillJujuStack/10000-4     	    5000	    400686 ns/op	  333408 B/op	   10472 allocs/op
BenchmarkFillJujuStack/10000-4     	    5000	    401146 ns/op	  333408 B/op	   10472 allocs/op
BenchmarkFillJujuStack/10000-4     	    5000	    399937 ns/op	  333408 B/op	   10472 allocs/op
BenchmarkFillJujuStack/10000-4     	    3000	    401246 ns/op	  333408 B/op	   10472 allocs/op
BenchmarkFillJujuStack/10000-4     	    5000	    402317 ns/op	  333408 B/op	   10472 allocs/op
BenchmarkFillJujuStack/10000-4     	    5000	    403242 ns/op	  333408 B/op	   10472 allocs/op
BenchmarkFillJujuStack/10000-4     	    5000	    401227 ns/op	  333408 B/op	   10472 allocs/op
BenchmarkFillJujuStack/100000-4    	     300	   4395971 ns/op	 3325632 B/op	  104690 allocs/op
BenchmarkFillJujuStack/100000-4    	     300	   4328125 ns/op	 3325632 B/op	  104690 allocs/op
BenchmarkFillJujuStack/100000-4    	     300	   4370345 ns/op	 3325632 B/op	  104690 allocs/op
BenchmarkFillJujuStack/100000-4    	     300	   4373139 ns/op	 3325632 B/op	  104690 allocs/op
BenchmarkFillJujuStack/100000-4    	     300	   4360314 ns/op	 3325632 B/op	  104690 allocs/op
BenchmarkFillJujuStack/100000-4    	     300	   4362224 ns/op	 3325632 B/op	  104690 allocs/op
BenchmarkFillJujuStack/100000-4    	     300	   4361378 ns/op	 3325632 B/op	  104690 allocs/op
BenchmarkFillJujuStack/100000-4    	     300	   4379505 ns/op	 3325632 B/op	  104690 allocs/op
BenchmarkFillJujuStack/100000-4    	     300	   4361730 ns/op	 3325632 B/op	  104690 allocs/op
BenchmarkFillJujuStack/100000-4    	     300	   4377707 ns/op	 3325632 B/op	  104690 allocs/op
BenchmarkFillJujuStack/1000000-4   	      30	  59890694 ns/op	33251187 B/op	 1046879 allocs/op
BenchmarkFillJujuStack/1000000-4   	      20	  59560034 ns/op	33251184 B/op	 1046879 allocs/op
BenchmarkFillJujuStack/1000000-4   	      20	  58710948 ns/op	33251184 B/op	 1046879 allocs/op
BenchmarkFillJujuStack/1000000-4   	      30	  57652192 ns/op	33251184 B/op	 1046879 allocs/op
